,CityName,CityCode,ParentCode,Longitude,Latitude
0,北京市,11,0,116.39564503788,39.92998577808
1,东城区,110101,11,116.42188470126,39.938574012986
2,西城区,110102,11,116.37319010402,39.934280143709
3,朝阳区,110105,11,116.52169489108,39.958953166407
4,丰台区,110106,11,116.25837033547,39.841937852205
5,石景山区,110107,11,116.18455581037,39.938866544646
6,海淀区,110108,11,116.23967780102,40.033162045078
7,门头沟区,110109,11,115.79579538125,40.000893031476
8,房山区,110111,11,115.8628363129,39.726752620796
9,通州区,110112,11,116.74007918068,39.809814883851
10,顺义区,110113,11,116.72822904528,40.154951470441
11,昌平区,110114,11,116.21645635689,40.221723549832
12,大兴区,110115,11,116.42519459738,39.652790118364
13,怀柔区,110116,11,116.59340835643,40.638139340311
14,平谷区,110117,11,117.15043344819,40.215925453896
15,密云区,110118,11,117.09666568438,40.517334853846
16,延庆区,110119,11,116.1618831398,40.535475747111
17,天津市,12,0,117.21081309155,39.14392990331
18,和平区,120101,12,117.20281365403,39.124808844703
19,河东区,120102,12,117.26169316527,39.126625684666
20,河西区,120103,12,117.23616545062,39.084493739615
21,南开区,120104,12,117.16272794945,39.116987285522
22,河北区,120105,12,117.22029676508,39.173148933924
23,红桥区,120106,12,117.16221680792,39.170621331225
24,东丽区,120110,12,117.41478234325,39.139604642775
25,西青区,120111,12,117.12620134665,39.035064611485
26,津南区,120112,12,117.39290995972,38.969790532725
27,北辰区,120113,12,117.18060609828,39.259130625979
28,武清区,120114,12,117.03457791373,39.457042575494
29,宝坻区,120115,12,117.41142059078,39.615544004133
30,滨海新区,120116,12,117.64628627057,39.059176638035
31,宁河区,120117,12,117.6312358292,39.390421570053
32,静海区,120118,12,116.98682530718,38.837510804607
33,蓟州区,120119,12,117.47034191571,40.009456311951
34,河北省,13,0,115.66143362422,38.613839749251
35,石家庄市,1301,13,114.52208184421,38.048958314615
36,唐山市,1302,13,118.18345059773,39.650530922537
37,秦皇岛市,1303,13,119.60436761612,39.945461565898
38,邯郸市,1304,13,114.48269393234,36.609307928471
39,邢台市,1305,13,114.52048681294,37.069531196912
40,保定市,1306,13,115.49481016908,38.886564548027
41,张家口市,1307,13,114.89378153033,40.811188491103
42,承德市,1308,13,117.93382245584,40.992521052457
43,沧州市,1309,13,116.86380647644,38.297615350326
44,廊坊市,1310,13,116.70360222264,39.518610625085
45,衡水市,1311,13,115.68622865291,37.746929045857
46,定州市,139001,13,115.05740695232,38.465839158048
47,辛集市,139002,13,115.29874950521,37.924121876409
48,山西省,14,0,112.51549586384,37.866565990509
49,太原市,1401,14,112.55086358906,37.890277053968
50,大同市,1402,14,113.29050867308,40.113744499705
51,阳泉市,1403,14,113.56923760163,37.869529493223
52,长治市,1404,14,113.12029208573,36.201664385743
53,晋城市,1405,14,112.86733275751,35.499834467226
54,朔州市,1406,14,112.47992772666,39.337671966221
55,晋中市,1407,14,112.73851439992,37.693361526798
56,运城市,1408,14,111.00685365308,35.038859479812
57,忻州市,1409,14,112.72793882881,38.461030572959
58,临汾市,1410,14,111.53878759641,36.099745443585
59,吕梁市,1411,14,111.14315660235,37.527316096963
60,内蒙古自治区,15,0,114.41586754817,43.468238221949
61,呼和浩特市,1501,15,111.66035052005,40.828318873082
62,包头市,1502,15,109.84623853249,40.647119425709
63,乌海市,1503,15,106.83199909716,39.683177006785
64,赤峰市,1504,15,118.93076119217,42.297112320317
65,通辽市,1505,15,122.26036326322,43.633756072996
66,鄂尔多斯市,1506,15,109.99370625145,39.816489560602
67,呼伦贝尔市,1507,15,119.760821794,49.201636054604
68,巴彦淖尔市,1508,15,107.42380671968,40.769179902429
69,乌兰察布市,1509,15,113.11284639068,41.022362946751
70,兴安盟,1522,15,122.04816651407,46.083757065182
71,锡林郭勒盟,1525,15,116.02733968896,43.939704842324
72,阿拉善盟,1529,15,105.69568287113,38.843075264408
73,辽宁省,21,0,122.75359155772,41.621600105958
74,沈阳市,2101,21,123.43279092161,41.808644783516
75,大连市,2102,21,121.59347778144,38.948709938304
76,鞍山市,2103,21,123.00776332888,41.118743682153
77,抚顺市,2104,21,123.92981976705,41.877303829591
78,本溪市,2105,21,123.77806236979,41.325837626649
79,丹东市,2106,21,124.33854311477,40.129022826638
80,锦州市,2107,21,121.14774873824,41.130878875917
81,营口市,2108,21,122.23339137079,40.668651066474
82,阜新市,2109,21,121.66082212857,42.01925010706
83,辽阳市,2110,21,123.17245120515,41.273339265569
84,盘锦市,2111,21,122.07322781023,41.141248022956
85,铁岭市,2112,21,123.85484961462,42.299757012125
86,朝阳市,2113,21,120.44616270274,41.571827667857
87,葫芦岛市,2114,21,120.86075764476,40.743029881318
88,吉林省,22,0,126.26287593078,43.678846185241
89,长春市,2201,22,125.3136424272,43.898337607098
90,吉林市,2202,22,126.56454398883,43.871988334359
91,四平市,2203,22,124.39138207368,43.175524701126
92,辽源市,2204,22,125.13368605218,42.923302619054
93,通化市,2205,22,125.94265013851,41.736397129868
94,白山市,2206,22,126.43579767535,41.945859397018
95,松原市,2207,22,124.83299453234,45.136048970084
96,白城市,2208,22,122.8407766791,45.621086275219
97,延边朝鲜族自治州,2224,22,129.48590195816,42.896413603744
98,黑龙江省,23,0,128.04741371499,47.356591643111
99,哈尔滨市,2301,23,126.65771685545,45.773224633239
100,齐齐哈尔市,2302,23,123.98728894217,47.347699813366
101,鸡西市,2303,23,130.94176727325,45.321539886551
102,鹤岗市,2304,23,130.29247205063,47.338665903727
103,双鸭山市,2305,23,131.17140173958,46.655102062482
104,大庆市,2306,23,125.02183973021,46.596709020008
