day,Longitude,Latitude,incrConfirmed,ProvinceName,CityName
0.0,114.31158155473231,30.598466736400987,894,湖北,武汉
0.0,114.87849048410779,30.4593588576181,276,湖北,黄冈
0.0,113.96346265773938,30.924526261070227,121,湖北,孝感
0.0,112.12853720100244,32.014796804669224,94,湖北,襄阳
0.0,113.38945001822157,31.6965167723283,80,湖北,随州
0.0,111.29254921035434,30.697446484492378,77,湖北,宜昌
0.0,112.24552262926137,30.340842107742912,46,湖北,荆州
0.0,112.20639298023002,31.041732575569622,78,湖北,荆门
0.0,114.90160738827099,30.39657217331699,51,湖北,鄂州
0.0,115.04553290894361,30.205207848941598,43,湖北,黄石
0.0,114.32851909026844,29.847055947646492,40,湖北,咸宁
0.0,110.80452956069568,32.63506185840116,35,湖北,十堰
0.0,113.44960935856369,30.33358775114635,43,湖北,仙桃
0.0,109.49459261857503,30.277939575301094,105,湖北,恩施州
0.0,113.17240916632808,30.669621830099477,17,湖北,天门
0.0,112.9054740908161,30.40835793241892,8,湖北,潜江
0.0,120.70647689035565,28.00108540447221,24,浙江,温州
0.0,120.21551180372168,30.25308298169347,12,浙江,杭州
0.0,121.42743470427969,28.66219405599615,5,浙江,台州
0.0,121.63084278185603,29.866068124069646,11,浙江,宁波
0.0,120.59002264710614,30.057657361054257,3,浙江,绍兴
0.0,120.76355182586005,30.750974830920143,1,浙江,嘉兴
0.0,119.9295730584414,28.473278180563412,6,浙江,丽水
0.0,114.06455183658751,22.548456637984177,26,广东,深圳
0.0,113.27143134445974,23.135336306695006,38,广东,广州
0.0,113.58255478654918,22.27656465424921,3,广东,珠海
0.0,113.12851219549718,23.02775875078891,1,广东,佛山
0.0,113.75842045787648,23.02730841164339,6,广东,东莞
0.0,114.4235580165817,23.116358854725593,3,广东,惠州
0.0,113.39942236263188,22.5223146707905,3,广东,中山
0.0,110.36555441392824,21.276723439012073,1,广东,湛江
0.0,112.47148894063035,23.052888771125616,1,广东,肇庆
0.0,116.12953737612247,24.294177532206206,1,广东,梅州
0.0,113.60352734562261,24.815881278583017,1,广东,韶关
0.0,114.09748283304512,32.15301454753105,18,河南,信阳
0.0,113.63141920733915,34.75343885045448,9,河南,郑州
0.0,114.02847078173271,33.01784241674367,6,河南,驻马店
0.0,114.7079826661061,33.643083575264406,2,河南,周口
0.0,115.66244933826238,34.4202016658586,7,河南,商丘
0.0,114.39950042177432,36.10594098401491,24,河南,安阳
0.0,114.02342077764726,33.5877107071022,16,河南,漯河
0.0,113.19952856052156,33.772050748691015,3,河南,平顶山
0.0,112.09342010302309,32.69391743997009,14,河南,邓州
0.0,113.85847553685502,34.04143161161871,1,河南,许昌
0.0,114.32076511162192,34.80401391129182,3,河南,开封
0.0,114.30359364247649,35.7523574114,2,河南,鹤壁
0.0,116.45556614759954,33.93480147585089,1,河南,永城
0.0,112.4594212983115,34.62426277921943,2,河南,洛阳
0.0,113.24854783457334,35.22096325403899,5,河南,焦作
0.0,114.67560989145973,35.20719822456536,2,河南,长垣
0.0,112.94547319535287,28.23488939994364,26,湖南,长沙
0.0,113.13548942422142,29.3631782939259,8,湖南,岳阳
0.0,111.474432885931,27.245270272808565,8,湖南,邵阳
0.0,111.70545217995837,29.037749999406877,3,湖南,常德
0.0,110.00851426537254,27.575160902978517,3,湖南,怀化
0.0,112.57844721325992,26.899576139189122,4,湖南,衡阳
0.0,112.00150349288418,27.703208596991583,3,湖南,娄底
0.0,112.36151595471031,28.559711178489888,3,湖南,益阳
0.0,113.14047079776427,27.833567639016444,3,湖南,株洲
0.0,111.61945505792227,26.425864117900094,4,湖南,永州
0.0,113.02146049909462,25.776683273601865,5,湖南,郴州
0.0,112.95046418076468,27.835702227135585,3,湖南,湘潭
0.0,110.48553254695402,29.122815562551878,1,湖南,张家界
0.0,115.82043612491321,32.89606099485221,12,安徽,阜阳
0.0,117.1212827542562,30.53922247681024,12,安徽,安庆
0.0,115.7844632112745,33.850642695788835,5,安徽,亳州
0.0,118.5135795794315,31.676265597609103,5,安徽,马鞍山
0.0,117.39551332813694,32.921523704350825,10,安徽,蚌埠
0.0,118.43943137653523,31.358536655799266,1,安徽,芜湖
0.0,116.97054394561262,33.65209532645213,2,安徽,宿州
0.0,117.50208200570214,30.68054196371511,2,安徽,池州
0.0,115.86458944231661,28.68945529506072,6,江西,南昌
0.0,115.96066124030492,29.666660847999456,12,江西,九江
0.0,114.9235346513963,27.823578697788587,3,江西,新余
0.0,114.9405033729825,25.835176103497655,4,江西,赣州
0.0,114.4235636759064,27.820856421848216,2,江西,宜春
0.0,116.36453876864373,27.954892253419565,6,江西,抚州
0.0,117.94945960312224,28.460625921851733,3,江西,上饶
0.0,113.89369655407103,27.664752547951164,6,江西,萍乡
0.0,115.00051072001253,27.119726826070448,1,江西,吉安
0.0,117.0755754270272,28.265787063191418,4,江西,鹰潭
0.0,108.41555837050288,30.813621636707666,6,重庆,万州区
0.0,108.70344750000172,30.93661127197471,1,重庆,云阳县
0.0,106.5804150623847,29.612832314080265,1,重庆,江北区
0.0,106.6375590606026,29.723927343006626,1,重庆,渝北区
0.0,128.11242705884513,42.66037494317727,2,重庆,两江新区
0.0,106.51755873943073,29.50792771555286,2,重庆,九龙坡区
0.0,107.33956587471806,30.333293968500094,1,重庆,垫江县
0.0,109.57640255899645,31.404880009858267,1,重庆,巫溪县
0.0,106.57544006681098,29.559090182993803,2,重庆,渝中区
0.0,109.47047275630993,31.024601766549154,3,重庆,奉节县
0.0,107.73748061819887,29.86941278921405,1,重庆,丰都县
