CityCode,CityName,AreaKM2,PopulationW,GovernLocation,MailCode
130523.0,内丘县,788.0,30.0,内丘镇,54200.0
130524.0,柏乡县,268.0,21.0,柏乡镇,55450.0
130525.0,隆尧县,749.0,57.0,隆尧镇,55350.0
130528.0,宁晋县,1032.0,87.0,凤凰镇,55550.0
130529.0,巨鹿县,631.0,43.0,巨鹿镇,55250.0
130530.0,新河县,366.0,18.0,新河镇,55650.0
130531.0,广宗县,504.0,34.0,广宗镇,54600.0
130532.0,平乡县,406.0,37.0,中华路街道,54500.0
130533.0,威县,994.0,65.0,洺州镇,54700.0
130534.0,清河县,500.0,45.0,葛仙庄镇,54800.0
130535.0,临西县,542.0,39.0,临西镇,54900.0
130600.0,保定市,22135.0,1090.0,竞秀区,71000.0
130602.0,竞秀区,139.0,52.0,先锋街道,71051.0
130606.0,莲池区,173.0,64.0,五四路街道,71000.0
130607.0,满城区,629.0,41.0,满城镇,72150.0
130608.0,清苑区,867.0,69.0,清苑镇,71100.0
130609.0,徐水区,723.0,64.0,安肃镇,72550.0
130681.0,涿州市,751.0,70.0,双塔街道,72750.0
130682.0,定州市,1283.0,124.0,南城区街道,73000.0
130683.0,安国市,486.0,41.0,祁州路街道,71200.0
130684.0,高碑店市,618.0,63.0,兴华路街道,74000.0
130623.0,涞水县,1658.0,36.0,涞水镇,74100.0
130624.0,阜平县,2496.0,23.0,阜平镇,73200.0
130626.0,定兴县,714.0,61.0,定兴镇,72650.0
130627.0,唐县,1417.0,60.0,仁厚镇,72350.0
130628.0,高阳县,495.0,36.0,锦华街道,71500.0
130629.0,容城县,314.0,28.0,容城镇,71700.0
130630.0,涞源县,2448.0,29.0,涞源镇,74300.0
130631.0,望都县,370.0,27.0,望都镇,72450.0
130632.0,安新县,728.0,48.0,安新镇,71600.0
130633.0,易县,2534.0,58.0,易州镇,74200.0
130634.0,曲阳县,1084.0,66.0,恒州镇,73100.0
130635.0,蠡县,652.0,55.0,蠡吾镇,71400.0
130636.0,顺平县,711.0,32.0,蒲阳镇,72250.0
130637.0,博野县,331.0,27.0,博野镇,71300.0
130638.0,雄县,514.0,40.0,雄州镇,71800.0
130700.0,张家口市,36303.0,465.0,桥西区,75000.0
130703.0,桥西区,218.0,29.0,新华街街道,75000.0
130702.0,桥东区,385.0,33.0,红旗楼街道,75000.0
130705.0,宣化区,2014.0,52.0,建国街街道,75100.0
130706.0,下花园区,315.0,6.0,城镇街道,75300.0
130708.0,万全区,1162.0,22.0,孔家庄镇,76250.0
130709.0,崇礼区,2324.0,13.0,西湾子镇,76350.0
130722.0,张北县,3863.0,38.0,张北镇,76450.0
130723.0,康保县,3365.0,27.0,康保镇,76650.0
130724.0,沽源县,3388.0,23.0,平定堡镇,76550.0
130725.0,尚义县,2601.0,19.0,南壕堑镇,76750.0
130726.0,蔚县,3220.0,50.0,蔚州镇,75700.0
130727.0,阳原县,1849.0,27.0,西城镇,75800.0
130728.0,怀安县,1698.0,24.0,柴沟堡镇,76150.0
130730.0,怀来县,1801.0,37.0,沙城镇,75400.0
130731.0,涿鹿县,2802.0,35.0,涿鹿镇,75600.0
130732.0,赤城县,5287.0,29.0,赤城镇,75500.0
130800.0,承德市,39719.0,383.0,双桥区,67000.0
130802.0,双桥区,667.0,39.0,中华路街道,67000.0
130803.0,双滦区,452.0,15.0,双塔山镇,67001.0
130804.0,鹰手营子矿区,148.0,6.0,铁北路街道,67200.0
130881.0,平泉市,3294.0,48.0,平泉镇,67500.0
130821.0,承德县,3648.0,43.0,下板城镇,67400.0
130822.0,兴隆县,3123.0,33.0,兴隆镇,67300.0
130824.0,滦平县,2993.0,33.0,中兴路街道,68250.0
130825.0,隆化县,5473.0,45.0,安州街道,68150.0
130826.0,丰宁满族自治县,8765.0,41.0,大阁镇,68350.0
130827.0,宽城满族自治县,1936.0,26.0,宽城镇,67600.0
130828.0,围场满族蒙古族自治县,9220.0,54.0,围场镇,68450.0
130900.0,沧州市,13488.0,787.0,运河区,61000.0
130903.0,运河区,138.0,37.0,水月寺街道,61001.0
130902.0,新华区,89.0,23.0,建设北街街道,61000.0
130981.0,泊头市,1009.0,63.0,解放街道,62150.0
130982.0,任丘市,1012.0,91.0,新华路街道,62550.0
130983.0,黄骅市,1545.0,58.0,骅西街道,61100.0
130984.0,河间市,1333.0,91.0,瀛州路街道,62450.0
130921.0,沧县,1520.0,74.0,沧州市新华区,61000.0
130922.0,青县,968.0,44.0,清州镇,62650.0
130923.0,东光县,711.0,39.0,东光镇,61600.0
130924.0,海兴县,919.0,24.0,苏基镇,61200.0
130925.0,盐山县,795.0,50.0,盐山镇,61300.0
130926.0,肃宁县,516.0,37.0,肃宁镇,62350.0
130927.0,南皮县,790.0,40.0,南皮镇,61500.0
130928.0,吴桥县,583.0,28.0,桑园镇,61800.0
130929.0,献县,1173.0,66.0,乐寿镇,62250.0
130930.0,孟村回族自治县,387.0,23.0,孟村镇,61400.0
131000.0,廊坊市,6420.0,483.0,广阳区,65000.0
131003.0,广阳区,384.0,50.0,解放道街道,65000.0
131002.0,安次区,578.0,38.0,银河北路街道,65000.0
131081.0,霸州市,802.0,66.0,霸州镇,65700.0
131082.0,三河市,634.0,75.0,鼎盛东大街街道,65200.0
131022.0,固安县,703.0,53.0,固安镇,65500.0
131023.0,永清县,761.0,41.0,永清镇,65600.0
131024.0,香河县,448.0,38.0,淑阳镇,65400.0
131025.0,大城县,897.0,54.0,平舒镇,65900.0
131026.0,文安县,1037.0,56.0,文安镇,65800.0
131028.0,大厂回族自治县,176.0,13.0,大厂镇,65300.0
131100.0,衡水市,8758.0,458.0,桃城区,53000.0
131102.0,桃城区,563.0,68.0,中华大街街道,53000.0
131103.0,冀州区,878.0,35.0,冀州镇,53200.0
131182.0,深州市,1245.0,57.0,深州镇,53800.0
131121.0,枣强县,905.0,41.0,枣强镇,53100.0
131122.0,武邑县,832.0,32.0,武邑镇,53400.0
131123.0,武强县,443.0,22.0,武强镇,53300.0
131124.0,饶阳县,572.0,29.0,饶阳镇,53900.0
131125.0,安平县,496.0,34.0,安平镇,53600.0
131126.0,故城县,941.0,53.0,郑口镇,53800.0
131127.0,景县,1188.0,55.0,景州镇,53500.0
131128.0,阜城县,695.0,35.0,阜城镇,53700.0
140100.0,太原市,6909.0,384.0,杏花岭区,30000.0
140107.0,杏花岭区,146.0,62.0,巨轮街道,30009.0
140105.0,小店区,290.0,69.0,小店街道,30032.0
140106.0,迎泽区,105.0,55.0,柳巷街道,30002.0
140108.0,尖草坪区,296.0,33.0,柴村街道,30023.0
140109.0,万柏林区,289.0,59.0,千峰街道,30024.0
140110.0,晋源区,290.0,22.0,晋源街道,30025.0
140181.0,古交市,1512.0,21.0,东曲街道,30200.0
140121.0,清徐县,608.0,34.0,清源镇,30400.0
140122.0,阳曲县,2084.0,15.0,黄寨镇,30100.0
140123.0,娄烦县,1289.0,13.0,娄烦镇,30300.0
140200.0,大同市,14056.0,318.0,平城区,37000.0
140213.0,平城区,240.0,75.0,向阳里街道,37008.0
140214.0,云冈区,743.0,66.0,口泉乡,37001.0
140212.0,新荣区,1090.0,10.0,新荣镇,37002.0
140215.0,云州区,1478.0,19.0,西坪镇,37300.0
140221.0,阳高县,1678.0,27.0,龙泉镇,38100.0
140222.0,天镇县,1629.0,23.0,玉泉镇,38200.0
140223.0,广灵县,1204.0,18.0,壶泉镇,37500.0
140224.0,灵丘县,2732.0,25.0,武灵镇,34400.0
140225.0,浑源县,1968.0,35.0,永安镇,37400.0
140226.0,左云县,1294.0,14.0,云兴镇,37100.0
140300.0,阳泉市,4559.0,132.0,城区,45000.0
140302.0,城区,15.0,24.0,上站街道,45000.0
140303.0,矿区,12.0,26.0,平潭街街道,45000.0
140311.0,郊区,627.0,19.0,荫营镇,45011.0
140321.0,平定县,1391.0,32.0,冠山镇,45200.0
140322.0,盂县,2514.0,31.0,秀水镇,45100.0
140400.0,长治市,13954.0,340.0,潞州区,46000.0
140403.0,潞州区,344.0,75.0,太行东街街道,46011.0
140404.0,上党区,482.0,35.0,韩店街道,47100.0
140405.0,屯留区,1190.0,28.0,麟绛街道,46100.0
140406.0,潞城区,614.0,23.0,潞华街道,47500.0
140423.0,襄垣县,1178.0,27.0,古韩镇,46200.0
140425.0,平顺县,1510.0,15.0,青羊镇,47400.0
140426.0,黎城县,1113.0,16.0,黎侯镇,47600.0
140427.0,壶关县,1008.0,30.0,龙泉镇,47300.0
140428.0,长子县,1031.0,37.0,丹朱镇,46600.0
140429.0,武乡县,1615.0,21.0,丰州镇,46300.0
140430.0,沁县,1320.0,17.0,定昌镇,46400.0
140431.0,沁源县,2549.0,16.0,沁河镇,46500.0
140500.0,晋城市,9425.0,222.0,城区,48000.0
140502.0,城区,143.0,40.0,东街街道,48000.0
140581.0,高平市,980.0,49.0,北城街道,48400.0
140521.0,沁水县,2658.0,20.0,龙港镇,48200.0
140522.0,阳城县,1918.0,38.0,凤城镇,48100.0
140524.0,陵川县,1702.0,25.0,崇文镇,48300.0
140525.0,泽州县,2024.0,49.0,金村镇,48000.0
140600.0,朔州市,10626.0,163.0,朔城区,38500.0
140602.0,朔城区,1780.0,45.0,北城街道,36000.0
140603.0,平鲁区,2315.0,23.0,井坪镇,38600.0
140681.0,怀仁市,1234.0,29.0,云中镇,38300.0
140621.0,山阴县,1645.0,24.0,岱岳镇,36900.0
140622.0,应县,1673.0,31.0,金城镇,37600.0
140623.0,右玉县,1979.0,11.0,新城镇,37200.0
140700.0,晋中市,16391.0,335.0,榆次区,30600.0
140702.0,榆次区,1318.0,63.0,新建街道,30600.0
140703.0,太谷区,1046.0,29.0,明星镇,30800.0
140781.0,介休市,741.0,44.0,北关街道,32000.0
140721.0,榆社县,1700.0,15.0,箕城镇,31800.0
140722.0,左权县,2022.0,16.0,辽阳镇,32600.0
140723.0,和顺县,2194.0,14.0,义兴镇,32700.0
140724.0,昔阳县,1945.0,24.0,乐平镇,45300.0
140725.0,寿阳县,2116.0,21.0,朝阳镇,45400.0
140727.0,祁县,853.0,28.0,昭馀镇,30900.0
140728.0,平遥县,1254.0,54.0,古陶镇,31100.0
140729.0,灵石县,1202.0,26.0,翠峰镇,31300.0
140800.0,运城市,14183.0,514.0,盐湖区,44000.0
140802.0,盐湖区,1205.0,70.0,中城街道,44000.0
140881.0,永济市,1208.0,44.0,城西街道,44500.0
140882.0,河津市,593.0,40.0,城区街道,43300.0
140821.0,临猗县,1362.0,56.0,猗氏镇,44100.0
140822.0,万荣县,1076.0,44.0,解店镇,44200.0
140823.0,闻喜县,1168.0,40.0,桐城镇,43800.0
140824.0,稷山县,686.0,36.0,稷峰镇,43200.0
140825.0,新绛县,597.0,33.0,龙兴镇,43100.0
140826.0,绛县,978.0,28.0,古绛镇,43600.0
140827.0,垣曲县,1609.0,22.0,新城镇,43700.0
140828.0,夏县,1351.0,37.0,瑶峰镇,44400.0
140829.0,平陆县,1174.0,25.0,圣人涧镇,44300.0
140830.0,芮城县,1176.0,38.0,古魏镇,44600.0
140900.0,忻州市,25154.0,307.0,忻府区,34000.0
140902.0,忻府区,1987.0,55.0,秀容街道,34000.0
140981.0,原平市,2550.0,48.0,北城街道,34100.0
140921.0,定襄县,851.0,22.0,晋昌镇,35400.0
140922.0,五台县,2865.0,31.0,台城镇,35500.0
140923.0,代县,1729.0,20.0,上馆镇,34200.0
140924.0,繁峙县,2373.0,28.0,繁城镇,34300.0
140925.0,宁武县,1944.0,16.0,凤凰镇,36700.0
140926.0,静乐县,2037.0,16.0,鹅城镇,35100.0
140927.0,神池县,1471.0,10.0,龙泉镇,36100.0
140928.0,五寨县,1388.0,11.0,砚城镇,36200.0
140929.0,岢岚县,1980.0,8.0,岚漪镇,36300.0
140930.0,河曲县,1317.0,14.0,文笔镇,36500.0
140931.0,保德县,995.0,16.0,东关镇,36600.0
140932.0,偏关县,1667.0,10.0,新关镇,36400.0
141000.0,临汾市,20301.0,431.0,尧都区,41000.0
141002.0,尧都区,1307.0,82.0,路东街道,41000.0
141081.0,侯马市,220.0,24.0,路东街道,43000.0
141082.0,霍州市,765.0,31.0,开元街街道,31400.0
141021.0,曲沃县,437.0,23.0,乐昌镇,43400.0
141022.0,翼城县,1168.0,31.0,唐兴镇,43500.0
141023.0,襄汾县,1031.0,50.0,新城镇,41500.0
141024.0,洪洞县,1495.0,77.0,大槐树镇,41600.0
141025.0,古县,1196.0,9.0,岳阳镇,42400.0
141026.0,安泽县,1960.0,8.0,府城镇,42500.0
141027.0,浮山县,940.0,13.0,天坛镇,42600.0
141028.0,吉县,1780.0,11.0,吉昌镇,42200.0
141029.0,乡宁县,2025.0,24.0,昌宁镇,42100.0
141030.0,大宁县,962.0,7.0,昕水镇,42300.0
141031.0,隰县,1413.0,11.0,龙泉镇,41300.0
141032.0,永和县,1214.0,7.0,芝河镇,41400.0
141033.0,蒲县,1513.0,11.0,蒲城镇,41200.0
141034.0,汾西县,875.0,15.0,永安镇,31500.0
141100.0,吕梁市,21140.0,393.0,离石区,33000.0
141102.0,离石区,1324.0,29.0,滨河街道,33000.0
141181.0,孝义市,938.0,49.0,新义街道,32300.0
141182.0,汾阳市,1170.0,43.0,太和桥街道,32200.0
141121.0,文水县,1069.0,45.0,凤城镇,32100.0
141122.0,交城县,1826.0,23.0,天宁镇,30500.0
141123.0,兴县,3169.0,29.0,蔚汾镇,33600.0
