CityName,CityShortName,CityCode,ParentCode,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
北京市,北京,11,0,2022-03-26,1755,1608,9,8,11.0,0.0
东城区,东城,110101,11,2022-03-26,42,6,0,0,,
西城区,西城,110102,11,2022-03-26,69,6,0,0,,
朝阳区,朝阳,110105,11,2022-03-26,133,9,0,1,,
丰台区,丰台,110106,11,2022-03-26,350,237,0,0,,
石景山区,石景山,110107,11,2022-03-26,15,12,0,0,,
海淀区,海淀,110108,11,2022-03-26,108,26,0,0,,
门头沟区,门头沟,110109,11,2022-03-26,6,4,0,0,,
房山区,房山,110111,11,2022-03-26,31,12,0,0,,
通州区,通州,110112,11,2022-03-26,24,3,9,0,,
顺义区,顺义,110113,11,2022-03-26,48,45,0,0,,
昌平区,昌平,110114,11,2022-03-26,70,50,0,0,,
大兴区,大兴,110115,11,2022-03-26,148,111,0,0,,
怀柔区,怀柔,110116,11,2022-03-26,8,4,0,0,,
平谷区,,110117,11,2022-03-26,,,,,,
密云区,密云,110118,11,2022-03-26,7,0,0,0,,
延庆区,延庆,110119,11,2022-03-26,1,0,0,0,,
天津市,天津,12,0,2022-03-26,1748,1340,3,35,14.0,0.0
和平区,和平区,120101,12,2022-03-26,6,6,0,0,,
河东区,河东区,120102,12,2022-03-26,28,18,1,1,,
河西区,河西区,120103,12,2022-03-26,27,10,0,0,,
南开区,南开区,120104,12,2022-03-26,34,7,0,0,,
河北区,河北,120105,12,2022-03-26,1918,1556,7,19,8.0,0.0
红桥区,红桥区,120106,12,2022-03-26,35,7,0,1,,
东丽区,东丽区,120110,12,2022-03-26,26,5,0,1,,
西青区,西青区,120111,12,2022-03-26,174,18,0,14,,
津南区,津南区,120112,12,2022-03-26,364,344,0,0,,
北辰区,北辰区,120113,12,2022-03-26,21,7,0,4,,
武清区,武清区,120114,12,2022-03-26,151,2,0,0,,
宝坻区,宝坻区,120115,12,2022-03-26,66,58,2,0,,
滨海新区,滨海新区,120116,12,2022-03-26,85,22,0,4,,
宁河区,宁河区,120117,12,2022-03-26,6,4,0,0,,
静海区,静海区,120118,12,2022-03-26,8,0,0,2,,
蓟州区,,120119,12,2022-03-26,,,,,,
河北省,河北,13,0,2022-03-26,1918,1556,7,19,8.0,0.0
石家庄市,石家庄,1301,13,2022-03-26,977,962,1,0,,
唐山市,唐山,1302,13,2022-03-26,81,57,1,7,,
秦皇岛市,秦皇岛,1303,13,2022-03-26,12,9,1,1,,
邯郸市,邯郸,1304,13,2022-03-26,40,32,0,0,,
邢台市,邢台,1305,13,2022-03-26,136,95,1,0,,
保定市,保定,1306,13,2022-03-26,48,38,0,0,,
张家口市,张家口,1307,13,2022-03-26,43,43,0,0,,
承德市,承德,1308,13,2022-03-26,7,7,0,0,,
沧州市,沧州,1309,13,2022-03-26,138,46,3,0,,
廊坊市,廊坊,1310,13,2022-03-26,294,39,0,11,,
衡水市,衡水,1311,13,2022-03-26,13,13,0,0,,
定州市,定州,139001,13,2022-03-26,3,2,0,0,,
辛集市,辛集市,139002,13,2022-03-26,71,71,0,0,,
山西省,山西,14,0,2022-03-26,303,294,0,3,0.0,0.0
太原市,太原,1401,14,2022-03-26,26,26,0,0,,
大同市,大同,1402,14,2022-03-26,14,14,0,0,,
阳泉市,阳泉,1403,14,2022-03-26,4,4,0,0,,
长治市,长治,1404,14,2022-03-26,8,8,0,0,,
晋城市,晋城,1405,14,2022-03-26,11,11,0,0,,
朔州市,朔州,1406,14,2022-03-26,8,8,0,0,,
晋中市,晋中,1407,14,2022-03-26,56,55,0,0,,
运城市,运城,1408,14,2022-03-26,25,25,0,0,,
忻州市,忻州,1409,14,2022-03-26,8,8,0,0,,
临汾市,临汾,1410,14,2022-03-26,2,2,0,0,,
吕梁市,吕梁,1411,14,2022-03-26,6,6,0,0,,
内蒙古自治区,内蒙古,15,0,2022-03-26,1681,1666,1,4,0.0,0.0
呼和浩特市,呼和浩特,1501,15,2022-03-26,446,439,0,3,,
包头市,包头,1502,15,2022-03-26,36,36,0,0,,
乌海市,乌海,1503,15,2022-03-26,2,2,0,0,,
赤峰市,赤峰,1504,15,2022-03-26,9,9,0,0,,
通辽市,通辽,1505,15,2022-03-26,15,9,0,1,,
鄂尔多斯市,鄂尔多斯,1506,15,2022-03-26,15,15,0,0,,
呼伦贝尔市,呼伦贝尔,1507,15,2022-03-26,611,610,0,0,,
巴彦淖尔市,巴彦淖尔,1508,15,2022-03-26,11,10,1,0,,
乌兰察布市,乌兰察布,1509,15,2022-03-26,3,3,0,0,,
兴安盟,兴安盟,1522,15,2022-03-26,1,1,0,0,,
锡林郭勒盟,锡林郭勒,1525,15,2022-03-26,29,29,0,0,,
阿拉善盟,阿拉善盟,1529,15,2022-03-26,167,167,0,0,,
辽宁省,辽宁,21,0,2022-03-26,1516,1030,2,14,5.0,0.0
沈阳市,沈阳,2101,21,2022-03-26,189,81,0,3,,
大连市,大连,2102,21,2022-03-26,618,470,0,0,,
鞍山市,鞍山,2103,21,2022-03-26,4,4,0,0,,
抚顺市,抚顺,2104,21,2022-03-26,1,1,0,0,,
本溪市,本溪,2105,21,2022-03-26,4,3,0,1,,
丹东市,丹东,2106,21,2022-03-26,11,11,0,0,,
锦州市,锦州,2107,21,2022-03-26,15,12,0,2,,
营口市,营口,2108,21,2022-03-26,194,11,0,2,,
阜新市,阜新,2109,21,2022-03-26,9,8,0,0,,
辽阳市,辽阳,2110,21,2022-03-26,12,3,0,3,,
盘锦市,盘锦,2111,21,2022-03-26,14,11,0,1,,
铁岭市,铁岭,2112,21,2022-03-26,13,8,0,1,,
朝阳市,朝阳,2113,21,2022-03-26,133,9,0,1,,
葫芦岛市,葫芦岛,2114,21,2022-03-26,218,152,1,0,,
吉林省,吉林,22,0,2022-03-26,23357,2327,5,1122,613.0,0.0
长春市,长春,2201,22,2022-03-26,12394,835,0,554,,
吉林市,吉林,2202,22,2022-03-26,23357,2327,5,1122,613.0,0.0
四平市,四平,2203,22,2022-03-26,176,16,1,7,,
辽源市,辽源,2204,22,2022-03-26,7,7,0,0,,
通化市,通化,2205,22,2022-03-26,313,312,1,0,,
白山市,,2206,22,2022-03-26,,,,,,
松原市,松原,2207,22,2022-03-26,14,6,0,0,,
白城市,白城,2208,22,2022-03-26,3,1,0,1,,
延边朝鲜族自治州,延边,2224,22,2022-03-26,122,55,0,0,,
黑龙江省,黑龙江,23,0,2022-03-26,2344,2086,13,9,5.0,0.0
哈尔滨市,哈尔滨,2301,23,2022-03-26,790,554,4,8,,
齐齐哈尔市,齐齐哈尔,2302,23,2022-03-26,45,44,1,0,,
鸡西市,鸡西,2303,23,2022-03-26,52,52,0,0,,
鹤岗市,鹤岗,2304,23,2022-03-26,5,5,0,0,,
双鸭山市,双鸭山,2305,23,2022-03-26,52,49,3,0,,
大庆市,大庆,2306,23,2022-03-26,30,28,1,1,,
伊春市,伊春,2307,23,2022-03-26,1,1,0,0,,
佳木斯市,佳木斯,2308,23,2022-03-26,15,15,0,0,,
七台河市,七台河,2309,23,2022-03-26,17,17,0,0,,
牡丹江市,牡丹江,2310,23,2022-03-26,73,69,0,0,,
黑河市,黑河,2311,23,2022-03-26,296,296,0,0,,
绥化市,绥化,2312,23,2022-03-26,537,533,4,0,,
大兴安岭地区,大兴安岭,2327,23,2022-03-26,3,3,0,0,,
上海市,上海,31,0,2022-03-26,5182,4800,7,47,21.0,0.0
黄浦区,黄浦,310101,31,2022-03-26,42,29,0,0,,
徐汇区,徐汇,310104,31,2022-03-26,61,32,1,1,,
长宁区,长宁,310105,31,2022-03-26,15,14,0,0,,
静安区,静安,310106,31,2022-03-26,42,24,1,0,,
普陀区,普陀,310107,31,2022-03-26,25,16,0,1,,
虹口区,虹口,310109,31,2022-03-26,12,9,0,0,,
杨浦区,杨浦,310110,31,2022-03-26,11,9,0,0,,
闵行区,闵行,310112,31,2022-03-26,73,39,0,4,,
宝山区,宝山,310113,31,2022-03-26,34,26,1,0,,
