CityName,CityShortName,CityCode,ParentCode,LastUpdate,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
北京市,北京,11,0,2022-04-21,1844,1785,9,2,3,0
东城区,,110101,11,2022-04-22,,,,,,
西城区,,110102,11,2022-04-22,,,,,,
朝阳区,,110105,11,2022-04-22,,,,,,
丰台区,,110106,11,2022-04-22,,,,,,
石景山区,,110107,11,2022-04-22,,,,,,
海淀区,,110108,11,2022-04-22,,,,,,
门头沟区,,110109,11,2022-04-22,,,,,,
房山区,,110111,11,2022-04-22,,,,,,
通州区,,110112,11,2022-04-22,,,,,,
顺义区,,110113,11,2022-04-22,,,,,,
昌平区,,110114,11,2022-04-22,,,,,,
大兴区,,110115,11,2022-04-22,,,,,,
怀柔区,,110116,11,2022-04-22,,,,,,
平谷区,,110117,11,2022-04-22,,,,,,
密云区,,110118,11,2022-04-22,,,,,,
延庆区,,110119,11,2022-04-22,,,,,,
天津市,天津,12,0,2022-04-21,1800,1795,3,0,1,0
和平区,,120101,12,2022-04-22,,,,,,
河东区,,120102,12,2022-04-22,,,,,,
河西区,,120103,12,2022-04-22,,,,,,
南开区,,120104,12,2022-04-22,,,,,,
河北区,河北,120105,12,2022-04-21,1986,1957,7,1,2,0
红桥区,,120106,12,2022-04-22,,,,,,
东丽区,,120110,12,2022-04-22,,,,,,
西青区,,120111,12,2022-04-22,,,,,,
津南区,,120112,12,2022-04-22,,,,,,
北辰区,,120113,12,2022-04-22,,,,,,
武清区,,120114,12,2022-04-22,,,,,,
宝坻区,,120115,12,2022-04-22,,,,,,
滨海新区,,120116,12,2022-04-22,,,,,,
宁河区,,120117,12,2022-04-22,,,,,,
静海区,,120118,12,2022-04-22,,,,,,
蓟州区,,120119,12,2022-04-22,,,,,,
河北省,河北,13,0,2022-04-21,1986,1957,7,1,2,0
石家庄市,,1301,13,2022-04-22,,,,,,
唐山市,,1302,13,2022-04-22,,,,,,
秦皇岛市,,1303,13,2022-04-22,,,,,,
邯郸市,,1304,13,2022-04-22,,,,,,
邢台市,,1305,13,2022-04-22,,,,,,
保定市,,1306,13,2022-04-22,,,,,,
张家口市,,1307,13,2022-04-22,,,,,,
承德市,,1308,13,2022-04-22,,,,,,
