CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-03-13,259387,27202,3993,8163,960,549
C202006211424032,未明确地区,2022-03-13,259387,27202,3993,8163,,
420000,湖北,2022-03-13,68386,63823,4512,0,5,0
420100,武汉,2022-03-13,50419,46511,3869,0,,
420900,孝感,2022-03-13,3518,3389,129,0,,
421100,黄冈,2022-03-13,2912,2787,125,0,,
421000,荆州,2022-03-13,1582,1530,52,0,,
420700,鄂州,2022-03-13,1395,1336,59,0,,
421300,随州,2022-03-13,1307,1262,45,0,,
420600,襄阳,2022-03-13,1175,1135,40,0,,
420200,黄石,2022-03-13,1015,976,39,0,,
420800,荆门,2022-03-13,971,930,41,0,,
420500,宜昌,2022-03-13,931,894,37,0,,
421200,咸宁,2022-03-13,836,821,15,0,,
420300,十堰,2022-03-13,672,664,8,0,,
422900,仙桃,2022-03-13,575,553,22,0,,
429006,天门,2022-03-13,498,483,15,0,,
422800,恩施州,2022-03-13,252,245,7,0,,
423000,潜江,2022-03-13,198,189,9,0,,
C202008021801251,境外输入,2022-03-13,119,107,0,0,,
C202006211219071,神农架,2022-03-13,11,11,0,0,,
700000,台湾,2022-03-13,21288,13742,853,125,0,0
C202006211529122,未明确地区,2022-03-13,21288,13742,853,125,,
440000,广东,2022-03-13,5779,4165,8,96,48,0
C202006211224112,境外输入,2022-03-13,3492,2443,0,34,,
440300,深圳,2022-03-13,868,428,3,60,,
440100,广州,2022-03-13,531,525,1,0,,
441900,东莞,2022-03-13,314,127,1,2,,
440400,珠海,2022-03-13,137,98,1,0,,
440600,佛山,2022-03-13,101,101,0,0,,
442000,中山,2022-03-13,72,69,0,0,,
441300,惠州,2022-03-13,70,62,0,0,,
440500,汕头,2022-03-13,25,25,0,0,,
440800,湛江,2022-03-13,23,23,0,0,,
440700,江门,2022-03-13,23,23,0,0,,
441200,肇庆,2022-03-13,19,18,1,0,,
441400,梅州,2022-03-13,18,16,0,0,,
441700,阳江,2022-03-13,15,14,0,0,,
440900,茂名,2022-03-13,14,14,0,0,,
441800,清远,2022-03-13,12,12,0,0,,
440200,韶关,2022-03-13,10,9,1,0,,
445200,揭阳,2022-03-13,10,10,0,0,,
445300,云浮,2022-03-13,7,0,0,0,,
441600,河源,2022-03-13,7,5,0,0,,
441500,汕尾,2022-03-13,6,6,0,0,,
445100,潮州,2022-03-13,5,5,0,0,,
924400,未明确地区,2022-03-13,0,132,0,0,,
310000,上海,2022-03-13,4767,4113,7,20,26,0
C202006211504251,境外输入,2022-03-13,4329,3728,0,13,,
310100,外地来沪,2022-03-13,113,112,1,0,,
C202006211504253,浦东,2022-03-13,87,81,1,0,,
310104,徐汇,2022-03-13,31,17,1,0,,
310112,闵行,2022-03-13,27,19,0,4,,
310113,宝山,2022-03-13,27,25,1,0,,
310101,黄浦,2022-03-13,22,22,0,0,,
310106,静安,2022-03-13,22,18,1,0,,
310117,松江,2022-03-13,18,16,0,0,,
310114,嘉定,2022-03-13,15,7,2,1,,
310105,长宁,2022-03-13,15,14,0,1,,
310107,普陀,2022-03-13,15,11,0,0,,
310120,奉贤,2022-03-13,11,11,0,0,,
310110,杨浦,2022-03-13,9,9,0,0,,
310109,虹口,2022-03-13,9,7,0,0,,
310118,青浦,2022-03-13,7,7,0,0,,
310116,金山,2022-03-13,5,4,0,1,,
310130,崇明,2022-03-13,4,4,0,0,,
C202006300803441,境外来沪,2022-03-13,1,1,0,0,,
923100,未明确地区,2022-03-13,0,0,0,0,,
610000,陕西,2022-03-13,2962,2823,3,43,0,0
610100,西安,2022-03-13,2248,2185,3,9,,
C202006211334183,境外输入,2022-03-13,483,483,0,0,,
610300,宝鸡,2022-03-13,78,13,0,32,,
610700,汉中,2022-03-13,36,26,0,2,,
610400,咸阳,2022-03-13,31,31,0,0,,
610900,安康,2022-03-13,26,26,0,0,,
610600,延安,2022-03-13,21,21,0,0,,
610500,渭南,2022-03-13,18,18,0,0,,
610200,铜川,2022-03-13,8,8,0,0,,
611000,商洛,2022-03-13,7,7,0,0,,
610800,榆林,2022-03-13,3,3,0,0,,
C202006211334185,杨凌,2022-03-13,2,1,0,0,,
C202006211334184,韩城,2022-03-13,1,1,0,0,,
926100,未明确地区,2022-03-13,0,0,0,0,,
410000,河南,2022-03-13,2709,2642,22,1,1,0
410500,安阳,2022-03-13,522,522,0,0,,
410100,郑州,2022-03-13,489,483,5,0,,
411000,许昌,2022-03-13,405,404,1,0,,
411500,信阳,2022-03-13,277,275,2,0,,
C202006211219072,境外输入,2022-03-13,195,156,0,0,,
411300,南阳,2022-03-13,156,153,3,0,,
411700,驻马店,2022-03-13,143,143,0,0,,
411400,商丘,2022-03-13,109,106,3,0,,
411600,周口,2022-03-13,101,100,1,0,,
410400,平顶山,2022-03-13,59,58,1,0,,
410700,新乡,2022-03-13,57,54,3,0,,
410300,洛阳,2022-03-13,41,40,1,0,,
411100,漯河,2022-03-13,36,36,0,0,,
410200,开封,2022-03-13,33,33,0,0,,
410800,焦作,2022-03-13,32,31,1,0,,
410900,濮阳,2022-03-13,22,17,0,1,,
410600,鹤壁,2022-03-13,19,19,0,0,,
411200,三门峡,2022-03-13,8,7,1,0,,
C202006211219073,济源示范区,2022-03-13,5,5,0,0,,
924100,未明确地区,2022-03-13,0,0,0,0,,
220000,吉林,2022-03-13,2685,589,3,1416,0,0
220100,长春,2022-03-13,1117,150,0,831,,
220200,吉林,2022-03-13,1075,49,1,571,,
220500,通化,2022-03-13,313,312,1,0,,
222400,延边,2022-03-13,71,6,0,10,,
C202006211449311,境外输入,2022-03-13,68,35,0,2,,
220300,四平,2022-03-13,18,16,1,1,,
220700,松原,2022-03-13,8,6,0,1,,
220400,辽源,2022-03-13,7,7,0,0,,
95222,公主岭,2022-03-13,6,6,0,0,,
220800,白城,2022-03-13,1,1,0,0,,
C202006211449314,梅河口市,2022-03-13,1,1,0,0,,
C202203071016111,待确认,2022-03-13,0,0,0,0,,
330000,浙江,2022-03-13,2399,2059,1,58,0,0
330300,温州,2022-03-13,507,503,1,0,,
C202006211209102,境外输入,2022-03-13,460,306,0,39,,
330600,绍兴,2022-03-13,430,429,0,0,,
330100,杭州,2022-03-13,382,215,0,16,,
330200,宁波,2022-03-13,269,269,0,0,,
331000,台州,2022-03-13,147,147,0,0,,
330700,金华,2022-03-13,57,57,0,0,,
330400,嘉兴,2022-03-13,48,46,0,1,,
9587765,省十里丰监狱,2022-03-13,36,36,0,0,,
330800,衢州,2022-03-13,23,14,0,1,,
331100,丽水,2022-03-13,17,17,0,0,,
330500,湖州,2022-03-13,13,10,0,1,,
330900,舟山,2022-03-13,10,10,0,0,,
923300,未明确地区,2022-03-13,0,0,0,0,,
230000,黑龙江,2022-03-13,2114,2063,13,3,0,0
230100,哈尔滨,2022-03-13,567,545,4,3,,
231200,绥化,2022-03-13,537,533,4,0,,
C202006211504252,境外输入,2022-03-13,420,409,0,0,,
231100,黑河,2022-03-13,296,295,0,0,,
231000,牡丹江,2022-03-13,73,65,0,0,,
230500,双鸭山,2022-03-13,52,49,3,0,,
230300,鸡西,2022-03-13,52,52,0,0,,
230200,齐齐哈尔,2022-03-13,45,44,1,0,,
230600,大庆,2022-03-13,29,28,1,0,,
230900,七台河,2022-03-13,17,17,0,0,,
230800,佳木斯,2022-03-13,15,15,0,0,,
230400,鹤岗,2022-03-13,5,5,0,0,,
232700,大兴安岭,2022-03-13,3,3,0,0,,
922300,未明确地区,2022-03-13,2,2,0,0,,
230700,伊春,2022-03-13,1,1,0,0,,
530000,云南,2022-03-13,2004,1905,2,2,5,0
C202006211334191,境外输入,2022-03-13,1449,1420,0,0,,
C202006211334182,德宏州,2022-03-13,336,294,0,2,,
530100,昆明,2022-03-13,65,58,0,0,,
532500,红河,2022-03-13,26,9,0,0,,
C202006211334186,昭通市,2022-03-13,25,25,0,0,,
C202006211334189,西双版纳州,2022-03-13,20,14,1,0,,
530400,玉溪,2022-03-13,14,13,1,0,,
532900,大理,2022-03-13,13,13,0,0,,
530300,曲靖,2022-03-13,13,13,0,0,,
530900,临沧,2022-03-13,12,1,0,0,,
C202006211334188,保山市,2022-03-13,11,9,0,0,,
C202006211334187,丽江市,2022-03-13,7,7,0,0,,
532600,文山州,2022-03-13,5,3,0,0,,
530800,普洱,2022-03-13,4,4,0,0,,
C202006211334181,楚雄州,2022-03-13,4,4,0,0,,
C202109150726041,未明确地区,2022-03-13,0,18,0,0,,
370000,山东,2022-03-13,1979,1108,7,228,1,0
370200,青岛,2022-03-13,786,79,1,179,,
