CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
420000,湖北,2022-02-11,68320,63808,4512,0,0,0
420100,武汉,2022-02-11,50380,46511,3869,0,,
420900,孝感,2022-02-11,3518,3389,129,0,,
421100,黄冈,2022-02-11,2912,2787,125,0,,
421000,荆州,2022-02-11,1582,1530,52,0,,
420700,鄂州,2022-02-11,1395,1336,59,0,,
421300,随州,2022-02-11,1307,1262,45,0,,
420600,襄阳,2022-02-11,1175,1135,40,0,,
420200,黄石,2022-02-11,1015,976,39,0,,
420800,荆门,2022-02-11,971,930,41,0,,
420500,宜昌,2022-02-11,931,894,37,0,,
421200,咸宁,2022-02-11,836,821,15,0,,
420300,十堰,2022-02-11,672,664,8,0,,
422900,仙桃,2022-02-11,575,553,22,0,,
429006,天门,2022-02-11,498,483,15,0,,
422800,恩施州,2022-02-11,252,245,7,0,,
423000,潜江,2022-02-11,198,189,9,0,,
C202008021801251,境外输入,2022-02-11,92,92,0,0,,
C202006211219071,神农架,2022-02-11,11,11,0,0,,
700000,台湾,2022-02-11,19455,13742,851,162,0,0
C202006211529122,未明确地区,2022-02-11,19455,13742,851,162,,
810000,香港,2022-02-11,16079,13795,216,268,359,1
C202006211424032,未明确地区,2022-02-11,16079,13795,216,268,,
440000,广东,2022-02-11,3901,3683,8,15,8,0
C202006211224112,境外输入,2022-02-11,2216,2038,0,15,,
440100,广州,2022-02-11,527,522,1,0,,
440300,深圳,2022-02-11,464,428,3,0,,
440400,珠海,2022-02-11,134,98,1,0,,
441900,东莞,2022-02-11,128,101,1,0,,
440600,佛山,2022-02-11,101,101,0,0,,
442000,中山,2022-02-11,71,68,0,0,,
441300,惠州,2022-02-11,68,62,0,0,,
440500,汕头,2022-02-11,25,25,0,0,,
440800,湛江,2022-02-11,23,23,0,0,,
440700,江门,2022-02-11,23,23,0,0,,
441200,肇庆,2022-02-11,19,18,1,0,,
441400,梅州,2022-02-11,18,16,0,0,,
441700,阳江,2022-02-11,14,14,0,0,,
440900,茂名,2022-02-11,14,14,0,0,,
441800,清远,2022-02-11,12,12,0,0,,
440200,韶关,2022-02-11,10,9,1,0,,
445200,揭阳,2022-02-11,10,10,0,0,,
445300,云浮,2022-02-11,7,0,0,0,,
441500,汕尾,2022-02-11,6,6,0,0,,
441600,河源,2022-02-11,6,5,0,0,,
445100,潮州,2022-02-11,5,5,0,0,,
924400,未明确地区,2022-02-11,0,85,0,0,,
310000,上海,2022-02-11,3870,3663,7,12,29,0
C202006211504251,境外输入,2022-02-11,3478,3280,0,12,,
310100,外地来沪,2022-02-11,113,112,1,0,,
C202006211504253,浦东,2022-02-11,82,81,1,0,,
310113,宝山,2022-02-11,26,25,1,0,,
310101,黄浦,2022-02-11,22,22,0,0,,
310112,闵行,2022-02-11,19,19,0,0,,
310106,静安,2022-02-11,19,18,1,0,,
310104,徐汇,2022-02-11,18,17,1,0,,
310117,松江,2022-02-11,16,16,0,0,,
310105,长宁,2022-02-11,14,14,0,0,,
310120,奉贤,2022-02-11,11,9,0,0,,
310107,普陀,2022-02-11,11,11,0,0,,
310114,嘉定,2022-02-11,9,7,2,0,,
310110,杨浦,2022-02-11,9,9,0,0,,
310118,青浦,2022-02-11,7,7,0,0,,
310109,虹口,2022-02-11,7,7,0,0,,
310116,金山,2022-02-11,4,4,0,0,,
310130,崇明,2022-02-11,4,4,0,0,,
C202006300803441,境外来沪,2022-02-11,1,1,0,0,,
923100,未明确地区,2022-02-11,0,0,0,0,,
610000,陕西,2022-02-11,2826,2823,3,0,0,0
610100,西安,2022-02-11,2188,2185,3,0,,
C202006211334183,境外输入,2022-02-11,483,483,0,0,,
610400,咸阳,2022-02-11,31,31,0,0,,
610700,汉中,2022-02-11,26,26,0,0,,
610900,安康,2022-02-11,26,26,0,0,,
610600,延安,2022-02-11,21,21,0,0,,
610500,渭南,2022-02-11,18,18,0,0,,
610300,宝鸡,2022-02-11,13,13,0,0,,
610200,铜川,2022-02-11,8,8,0,0,,
611000,商洛,2022-02-11,7,7,0,0,,
610800,榆林,2022-02-11,3,3,0,0,,
C202006211334184,韩城,2022-02-11,1,1,0,0,,
C202006211334185,杨凌,2022-02-11,1,1,0,0,,
926100,未明确地区,2022-02-11,0,0,0,0,,
410000,河南,2022-02-11,2662,2404,22,0,40,0
