CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-04-21,309935,67882,9176,94,597,17
420000,湖北,2022-04-21,68396,63880,4512,0,1,0
700000,台湾,2022-04-21,40186,13742,856,4203,0,2
220000,吉林,2022-04-21,39549,33105,5,133,603,0
310000,上海,2022-04-21,35077,12923,24,2495,1685,7
440000,广东,2022-04-21,6946,6643,8,15,10,0
610000,陕西,2022-04-21,3273,3241,3,5,6,0
350000,福建,2022-04-21,2986,2860,1,2,12,0
330000,浙江,2022-04-21,2941,2373,1,8,16,0
410000,河南,2022-04-21,2862,2817,22,3,0,0
230000,黑龙江,2022-04-21,2718,2472,13,45,0,0
370000,山东,2022-04-21,2670,2556,7,1,9,0
320000,江苏,2022-04-21,2148,2058,0,8,7,0
530000,云南,2022-04-21,2103,2068,2,2,3,0
510000,四川,2022-04-21,1991,1928,3,3,6,0
130000,河北,2022-04-21,1986,1957,7,1,2,0
110000,北京,2022-04-21,1844,1785,9,2,3,0
120000,天津,2022-04-21,1800,1795,3,0,1,0
150000,内蒙古,2022-04-21,1693,1683,1,0,0,0
210000,辽宁,2022-04-21,1613,1591,2,0,0,0
450000,广西,2022-04-21,1561,1488,2,0,4,0
430000,湖南,2022-04-21,1343,1327,4,3,0,0
360000,江西,2022-04-21,1115,1072,1,25,2,0
340000,安徽,2022-04-21,1060,1044,6,0,0,0
650000,新疆,2022-04-21,999,996,3,0,0,0
500000,重庆,2022-04-21,694,687,6,0,0,0
620000,甘肃,2022-04-21,681,679,2,0,0,0
140000,山西,2022-04-21,403,341,0,9,3,0
460000,海南,2022-04-21,285,203,6,0,0,0
520000,贵州,2022-04-21,179,175,2,0,0,0
640000,宁夏,2022-04-21,122,122,0,0,0,0
820000,澳门,2022-04-21,82,82,0,0,0,0
630000,青海,2022-04-21,71,46,0,1,2,0
540000,西藏,2022-04-21,1,1,0,0,0,0
