CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-04-07,306804,53448,8460,415,655,111
C202006211424032,未明确地区,2022-04-07,306804,53448,8460,415,,
420000,湖北,2022-04-07,68391,63876,4512,0,1,0
420100,武汉,2022-04-07,50419,46550,3869,0,,
420900,孝感,2022-04-07,3518,3389,129,0,,
421100,黄冈,2022-04-07,2912,2787,125,0,,
421000,荆州,2022-04-07,1582,1530,52,0,,
420700,鄂州,2022-04-07,1395,1336,59,0,,
421300,随州,2022-04-07,1307,1262,45,0,,
420600,襄阳,2022-04-07,1175,1135,40,0,,
420200,黄石,2022-04-07,1015,976,39,0,,
420800,荆门,2022-04-07,971,930,41,0,,
420500,宜昌,2022-04-07,931,894,37,0,,
421200,咸宁,2022-04-07,836,821,15,0,,
420300,十堰,2022-04-07,673,665,8,0,,
422900,仙桃,2022-04-07,575,553,22,0,,
429006,天门,2022-04-07,498,483,15,0,,
422800,恩施州,2022-04-07,252,245,7,0,,
423000,潜江,2022-04-07,198,189,9,0,,
C202008021801251,境外输入,2022-04-07,123,120,0,0,,
C202006211219071,神农架,2022-04-07,11,11,0,0,,
220000,吉林,2022-04-07,36606,18471,5,893,1293,0
220100,长春,2022-04-07,22333,10376,0,766,,
220200,吉林,2022-04-07,13431,7515,1,112,,
220500,通化,2022-04-07,313,312,1,0,,
220300,四平,2022-04-07,238,93,1,2,,
222400,延边,2022-04-07,122,112,0,0,,
C202006211449311,境外输入,2022-04-07,73,35,0,0,,
220800,白城,2022-04-07,55,2,0,11,,
220700,松原,2022-04-07,15,12,0,0,,
220600,白山,2022-04-07,11,0,0,2,,
220400,辽源,2022-04-07,8,7,0,0,,
95222,公主岭,2022-04-07,6,6,0,0,,
C202006211449314,梅河口市,2022-04-07,1,1,0,0,,
C202203071016111,待确认,2022-04-07,0,0,2,0,,
700000,台湾,2022-04-07,25756,13742,853,890,0,0
C202006211529122,未明确地区,2022-04-07,25756,13742,853,890,,
310000,上海,2022-04-07,8506,5213,7,329,47,0
C202006211504251,境外输入,2022-04-07,4545,4471,0,7,,
C202006211504253,浦东,2022-04-07,1662,135,1,150,,
310112,闵行,2022-04-07,461,114,0,21,,
310104,徐汇,2022-04-07,312,64,1,19,,
310106,静安,2022-04-07,185,38,1,27,,
310113,宝山,2022-04-07,184,31,1,9,,
310107,普陀,2022-04-07,162,26,0,28,,
310101,黄浦,2022-04-07,152,41,0,9,,
310114,嘉定,2022-04-07,150,39,2,6,,
310105,长宁,2022-04-07,136,16,0,31,,
310110,杨浦,2022-04-07,117,12,0,12,,
310100,外地来沪,2022-04-07,113,112,1,0,,
310117,松江,2022-04-07,110,25,0,2,,
310109,虹口,2022-04-07,93,15,0,1,,
310120,奉贤,2022-04-07,46,16,0,0,,
310118,青浦,2022-04-07,34,9,0,4,,
310116,金山,2022-04-07,27,9,0,3,,
310130,崇明,2022-04-07,16,7,0,0,,
C202006300803441,境外来沪,2022-04-07,1,1,0,0,,
923100,未明确地区,2022-04-07,0,32,0,0,,
440000,广东,2022-04-07,6643,6460,8,1,31,0
C202006211224112,境外输入,2022-04-07,3773,3533,0,1,,
440300,深圳,2022-04-07,1361,778,3,0,,
440100,广州,2022-04-07,550,525,1,0,,
441900,东莞,2022-04-07,348,127,1,0,,
440400,珠海,2022-04-07,146,115,1,0,,
440600,佛山,2022-04-07,101,101,0,0,,
442000,中山,2022-04-07,81,71,0,0,,
441300,惠州,2022-04-07,70,62,0,0,,
441200,肇庆,2022-04-07,27,18,1,0,,
440500,汕头,2022-04-07,25,25,0,0,,
440800,湛江,2022-04-07,24,23,0,0,,
440700,江门,2022-04-07,23,23,0,0,,
440900,茂名,2022-04-07,21,14,0,0,,
441400,梅州,2022-04-07,18,17,0,0,,
441700,阳江,2022-04-07,15,14,0,0,,
441800,清远,2022-04-07,12,12,0,0,,
440200,韶关,2022-04-07,11,9,1,0,,
