CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-04-19,309841,67285,9159,655,1055,20
C202006211424032,未明确地区,2022-04-19,309841,67285,9159,655,,
420000,湖北,2022-04-19,68396,63879,4512,1,0,0
420100,武汉,2022-04-19,50421,46550,3869,1,,
420900,孝感,2022-04-19,3518,3389,129,0,,
421100,黄冈,2022-04-19,2913,2787,125,0,,
421000,荆州,2022-04-19,1582,1530,52,0,,
420700,鄂州,2022-04-19,1395,1336,59,0,,
421300,随州,2022-04-19,1307,1262,45,0,,
420600,襄阳,2022-04-19,1175,1135,40,0,,
420200,黄石,2022-04-19,1015,976,39,0,,
420800,荆门,2022-04-19,971,930,41,0,,
420500,宜昌,2022-04-19,932,894,37,0,,
421200,咸宁,2022-04-19,836,821,15,0,,
420300,十堰,2022-04-19,673,665,8,0,,
422900,仙桃,2022-04-19,575,553,22,0,,
429006,天门,2022-04-19,498,483,15,0,,
422800,恩施州,2022-04-19,253,245,7,0,,
423000,潜江,2022-04-19,198,189,9,0,,
C202008021801251,境外输入,2022-04-19,123,123,0,0,,
C202006211219071,神农架,2022-04-19,11,11,0,0,,
220000,吉林,2022-04-19,39416,32502,5,88,567,0
220100,长春,2022-04-19,24411,19992,0,74,,
220200,吉林,2022-04-19,14072,11746,1,6,,
220500,通化,2022-04-19,313,312,1,0,,
220300,四平,2022-04-19,244,193,1,0,,
222400,延边,2022-04-19,142,122,0,6,,
220800,白城,2022-04-19,116,65,0,2,,
C202006211449311,境外输入,2022-04-19,73,35,0,0,,
220700,松原,2022-04-19,18,15,0,0,,
220600,白山,2022-04-19,11,8,0,0,,
220400,辽源,2022-04-19,9,7,0,0,,
95222,公主岭,2022-04-19,6,6,0,0,,
C202006211449314,梅河口市,2022-04-19,1,1,0,0,,
C202203071016111,待确认,2022-04-19,0,0,2,0,,
700000,台湾,2022-04-19,37710,13742,856,3203,0,2
C202006211529122,未明确地区,2022-04-19,37710,13742,856,3203,,
310000,上海,2022-04-19,32582,11238,17,3084,1217,7
C202006211504253,浦东,2022-04-19,9863,3155,1,1075,,
C202006211504251,境外输入,2022-04-19,4577,4552,0,0,,
310112,闵行,2022-04-19,3411,503,0,312,,
310101,黄浦,2022-04-19,2012,267,0,362,,
310104,徐汇,2022-04-19,1763,247,1,68,,
310117,松江,2022-04-19,1662,216,0,191,,
310109,虹口,2022-04-19,1501,89,0,233,,
310114,嘉定,2022-04-19,1424,537,2,72,,
310105,长宁,2022-04-19,1217,184,0,193,,
310106,静安,2022-04-19,1082,128,1,203,,
310107,普陀,2022-04-19,963,88,0,21,,
310110,杨浦,2022-04-19,892,91,0,64,,
310113,宝山,2022-04-19,818,292,1,203,,
310118,青浦,2022-04-19,638,64,0,77,,
310116,金山,2022-04-19,282,238,0,3,,
310120,奉贤,2022-04-19,189,54,0,2,,
310130,崇明,2022-04-19,174,15,0,5,,
310100,外地来沪,2022-04-19,113,112,1,0,,
C202006300803441,境外来沪,2022-04-19,1,1,0,0,,
923100,未明确地区,2022-04-19,0,405,10,0,,
440000,广东,2022-04-19,6931,6633,8,24,12,0
C202006211224112,境外输入,2022-04-19,3815,3785,0,4,,
440300,深圳,2022-04-19,1384,778,3,1,,
440100,广州,2022-04-19,764,525,1,19,,
441900,东莞,2022-04-19,348,127,1,0,,
440400,珠海,2022-04-19,146,115,1,0,,
440600,佛山,2022-04-19,105,101,0,0,,
442000,中山,2022-04-19,82,71,0,0,,
441300,惠州,2022-04-19,70,62,0,0,,
441200,肇庆,2022-04-19,27,18,1,0,,
440800,湛江,2022-04-19,26,23,0,0,,
440500,汕头,2022-04-19,26,25,0,0,,
440700,江门,2022-04-19,23,23,0,0,,
440900,茂名,2022-04-19,21,14,0,0,,
441400,梅州,2022-04-19,18,17,0,0,,
441700,阳江,2022-04-19,15,14,0,0,,
440200,韶关,2022-04-19,12,9,1,0,,
441800,清远,2022-04-19,12,12,0,0,,
445200,揭阳,2022-04-19,10,10,0,0,,
441500,汕尾,2022-04-19,8,6,0,0,,
445300,云浮,2022-04-19,7,0,0,0,,
441600,河源,2022-04-19,7,5,0,0,,
445100,潮州,2022-04-19,5,5,0,0,,
