CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
700000,台湾,2022-05-29,1815703,13742,1911,80636,0,127
C202006211529122,未明确地区,2022-05-29,1815703,13742,1911,80636,,
810000,香港,2022-05-29,332221,62129,9375,0,0,0
C202006211424032,未明确地区,2022-05-29,332221,62129,9375,46,,
420000,湖北,2022-05-29,68399,63886,4512,1,0,0
420100,武汉,2022-05-29,50424,46554,3869,1,,
420900,孝感,2022-05-29,3518,3389,129,0,,
421100,黄冈,2022-05-29,2913,2788,125,0,,
421000,荆州,2022-05-29,1582,1530,52,0,,
420700,鄂州,2022-05-29,1395,1336,59,0,,
421300,随州,2022-05-29,1307,1262,45,0,,
420600,襄阳,2022-05-29,1175,1135,40,0,,
420200,黄石,2022-05-29,1015,976,39,0,,
420800,荆门,2022-05-29,971,930,41,0,,
420500,宜昌,2022-05-29,932,895,37,0,,
421200,咸宁,2022-05-29,836,821,15,0,,
420300,十堰,2022-05-29,673,665,8,0,,
422900,仙桃,2022-05-29,575,553,22,0,,
429006,天门,2022-05-29,498,483,15,0,,
422800,恩施州,2022-05-29,253,246,7,0,,
423000,潜江,2022-05-29,198,189,9,0,,
C202008021801251,境外输入,2022-05-29,123,123,0,0,,
C202006211219071,神农架,2022-05-29,11,11,0,0,,
953356,境外输入人员,2020-09-13,0,0,0,0,0,0
95345588,监狱系统,2020-09-13,0,0,0,0,0,0
924200,未明确地区,2020-09-13,0,0,0,0,0,0
423100,神农架林区,2020-09-13,0,0,0,0,0,0
310000,上海,2022-05-29,62982,61188,595,32,114,0
C202006211504253,浦东,2022-05-29,17100,15902,1,1,,
310101,黄浦,2022-05-29,6608,5218,0,3,,
310112,闵行,2022-05-29,5391,4713,0,2,,
310104,徐汇,2022-05-29,4673,3516,1,2,,
C202006211504251,境外输入,2022-05-29,4610,4600,0,3,,
310109,虹口,2022-05-29,3687,2632,0,3,,
310106,静安,2022-05-29,3234,2416,1,2,,
310113,宝山,2022-05-29,3083,2460,1,6,,
310117,松江,2022-05-29,2972,2894,0,4,,
