CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
700000,台湾,2022-05-13,570870,13742,968,65415,0,17
C202006211529122,未明确地区,2022-05-13,570870,13742,968,65415,,
810000,香港,2022-05-13,331468,60972,9356,48,131,1
C202006211424032,未明确地区,2022-05-13,331468,60972,9356,48,,
420000,湖北,2022-05-13,68398,63885,4512,0,0,0
420100,武汉,2022-05-13,50423,46553,3869,0,,
420900,孝感,2022-05-13,3518,3389,129,0,,
421100,黄冈,2022-05-13,2913,2788,125,0,,
421000,荆州,2022-05-13,1582,1530,52,0,,
420700,鄂州,2022-05-13,1395,1336,59,0,,
421300,随州,2022-05-13,1307,1262,45,0,,
420600,襄阳,2022-05-13,1175,1135,40,0,,
420200,黄石,2022-05-13,1015,976,39,0,,
420800,荆门,2022-05-13,971,930,41,0,,
420500,宜昌,2022-05-13,932,895,37,0,,
421200,咸宁,2022-05-13,836,821,15,0,,
420300,十堰,2022-05-13,673,665,8,0,,
422900,仙桃,2022-05-13,575,553,22,0,,
429006,天门,2022-05-13,498,483,15,0,,
422800,恩施州,2022-05-13,253,246,7,0,,
423000,潜江,2022-05-13,198,189,9,0,,
C202008021801251,境外输入,2022-05-13,123,123,0,0,,
C202006211219071,神农架,2022-05-13,11,11,0,0,,
953356,境外输入人员,2020-09-13,0,0,0,0,0,0
95345588,监狱系统,2020-09-13,0,0,0,0,0,0
924200,未明确地区,2020-09-13,0,0,0,0,0,0
423100,神农架林区,2020-09-13,0,0,0,0,0,0
310000,上海,2022-05-13,61741,56424,574,227,416,2
C202006211504253,浦东,2022-05-13,16978,15902,1,17,,
310101,黄浦,2022-05-13,6476,5218,0,23,,
310112,闵行,2022-05-13,5347,4713,0,15,,
310104,徐汇,2022-05-13,4624,3516,1,5,,
C202006211504251,境外输入,2022-05-13,4595,4583,0,0,,
310109,虹口,2022-05-13,3596,2632,0,24,,
310106,静安,2022-05-13,3077,2154,1,35,,
310113,宝山,2022-05-13,2977,2460,1,19,,
310117,松江,2022-05-13,2951,2894,0,7,,
310114,嘉定,2022-05-13,2499,2358,2,42,,
310105,长宁,2022-05-13,2398,1876,0,0,,
310110,杨浦,2022-05-13,2063,1194,0,34,,
310107,普陀,2022-05-13,1768,1291,0,2,,
310118,青浦,2022-05-13,1311,1253,0,1,,
310130,崇明,2022-05-13,393,225,0,3,,
310116,金山,2022-05-13,337,328,0,0,,
310120,奉贤,2022-05-13,237,153,0,0,,
310100,外地来沪,2022-05-13,113,112,1,0,,
C202006300803441,境外来沪,2022-05-13,1,2,0,0,,
C202101211446591,待确认,2021-02-22,0,2,0,0,,
923100,未明确地区,2022-05-13,0,3560,567,0,,
9512312,境外输入人员,2020-08-14,0,0,0,0,0,0
310115,浦东新区,2020-08-14,0,0,0,0,0,0
310108,闸北,2020-08-14,0,0,0,0,0,0
220000,吉林,2022-05-13,40260,40146,5,0,36,0
220100,长春,2022-05-13,25176,24404,0,0,,
220200,吉林,2022-05-13,14097,14080,1,0,,
C202205121132341,吉林市,2022-05-13,14097,14088,1,0,,
220500,通化,2022-05-13,313,312,1,0,,
220300,四平,2022-05-13,244,240,1,0,,
222400,延边,2022-05-13,173,170,0,0,,
220800,白城,2022-05-13,145,145,0,0,,
C202006211449311,境外输入,2022-05-13,73,35,0,0,,
922200,未明确地区,2022-04-30,42,0,0,42,,
220700,松原,2022-05-13,18,18,0,0,,
220600,白山,2022-05-13,11,11,0,0,,
220400,辽源,2022-05-13,9,9,0,0,,
95222,公主岭,2022-05-07,6,6,0,0,,
C202006211449314,梅河口市,2022-05-13,1,1,0,0,,
9583245,梅河口,2020-06-21,0,0,0,0,0,0
C202203071016111,待确认,2022-05-13,0,713,2,0,,
9536,境外输入人员,2020-06-21,0,0,0,0,0,0
440000,广东,2022-05-13,7247,7025,8,12,11,0
C202006211224112,境外输入,2022-05-13,3867,3845,0,1,,
440300,深圳,2022-05-13,1385,778,3,0,,
440100,广州,2022-05-13,948,609,1,1,,
441900,东莞,2022-05-13,348,347,1,0,,
440400,珠海,2022-05-13,146,115,1,0,,
440600,佛山,2022-05-13,105,101,0,0,,
440800,湛江,2022-05-13,98,23,0,9,,
442000,中山,2022-05-13,84,71,0,1,,
441300,惠州,2022-05-13,70,62,0,0,,
440700,江门,2022-05-13,28,23,0,0,,
441200,肇庆,2022-05-13,27,18,1,0,,
440500,汕头,2022-05-13,26,25,0,0,,
440900,茂名,2022-05-13,21,14,0,0,,
441400,梅州,2022-05-13,18,17,0,0,,
441700,阳江,2022-05-13,15,14,0,0,,
440200,韶关,2022-05-13,12,9,1,0,,
441800,清远,2022-05-13,12,12,0,0,,
445200,揭阳,2022-05-13,10,10,0,0,,
441500,汕尾,2022-05-13,8,6,0,0,,
445300,云浮,2022-05-13,7,0,0,0,,
441600,河源,2022-05-13,7,5,0,0,,
445100,潮州,2022-05-13,5,5,0,0,,
924400,未明确地区,2022-05-13,0,916,0,0,,
9532564,境外输入人员,2020-09-13,0,0,0,0,0,0
610000,陕西,2022-05-13,3278,3274,3,1,0,0
610100,西安,2022-05-13,2333,2330,3,0,,
C202006211334183,境外输入,2022-05-13,483,483,0,0,,
610300,宝鸡,2022-05-13,253,253,0,0,,
C202102191015131,本土病例,2021-02-20,247,244,0,0,,
610700,汉中,2022-05-13,57,57,0,0,,
610400,咸阳,2022-05-13,35,35,0,0,,
610900,安康,2022-05-13,34,33,0,1,,
610200,铜川,2022-05-13,26,26,0,0,,
610500,渭南,2022-05-13,22,22,0,0,,
610600,延安,2022-05-13,21,21,0,0,,
611000,商洛,2022-05-13,8,8,0,0,,
610800,榆林,2022-05-13,3,3,0,0,,
C202006211334185,杨凌,2022-05-13,3,3,0,0,,
C202006211334184,韩城,2022-05-07,1,1,0,0,,
926100,未明确地区,2022-05-13,0,0,0,0,,
955555,杨凌示范区,2020-09-13,0,0,0,0,0,0
95556,韩城市,2020-09-13,0,0,0,0,0,0
9511213,境外输入人员,2020-09-13,0,0,0,0,0,0
330000,浙江,2022-05-13,3130,2635,1,0,6,0
C202006211209102,境外输入,2022-05-13,593,374,0,0,,
330100,杭州,2022-05-13,530,328,0,0,,
330300,温州,2022-05-13,520,503,1,0,,
330600,绍兴,2022-05-13,451,430,0,0,,
330200,宁波,2022-05-13,330,269,0,0,,
330400,嘉兴,2022-05-13,176,46,0,0,,
331000,台州,2022-05-13,149,147,0,0,,
330700,金华,2022-05-13,142,57,0,0,,
330800,衢州,2022-05-13,116,22,0,0,,
330500,湖州,2022-05-13,37,10,0,0,,
9587765,省十里丰监狱,2022-05-13,36,36,0,0,,
330900,舟山,2022-05-13,28,10,0,0,,
331100,丽水,2022-05-13,22,17,0,0,,
953256,境外输入人员,2020-09-13,3,0,0,0,0,0
952456,划归外省,2020-09-13,0,0,0,0,0,0
923300,未明确地区,2022-05-13,0,386,0,0,,
410000,河南,2022-05-13,3110,2886,22,15,9,0
410100,郑州,2022-05-13,581,483,5,4,,
410500,安阳,2022-05-13,555,522,0,0,,
411000,许昌,2022-05-13,525,404,1,9,,
411500,信阳,2022-05-13,288,275,2,0,,
C202006211219072,境外输入,2022-05-13,211,210,0,0,,
411600,周口,2022-05-13,183,100,1,0,,
411300,南阳,2022-05-13,156,153,3,0,,
411700,驻马店,2022-05-13,143,143,0,0,,
411400,商丘,2022-05-13,112,106,3,0,,
410400,平顶山,2022-05-13,66,58,1,2,,
410700,新乡,2022-05-13,57,54,3,0,,
410800,焦作,2022-05-13,46,45,1,0,,
410300,洛阳,2022-05-13,45,40,1,0,,
411100,漯河,2022-05-13,44,36,0,0,,
410200,开封,2022-05-13,39,33,0,0,,
410900,濮阳,2022-05-13,27,17,0,0,,
410600,鹤壁,2022-05-13,19,19,0,0,,
411200,三门峡,2022-05-13,8,7,1,0,,
C202006211219073,济源示范区,2022-05-13,5,5,0,0,,
419000,济源,2020-09-13,0,0,0,0,0,0
95112123,境外输入人员,2020-09-13,0,0,0,0,0,0
924100,未明确地区,2022-05-13,0,176,0,0,,
350000,福建,2022-05-13,3096,3024,1,15,6,0
350500,泉州,2022-05-13,1187,1179,0,0,,
C202006211119091,境外输入,2022-05-13,1034,964,0,15,,
350300,莆田,2022-05-13,322,275,0,0,,
350200,厦门,2022-05-13,318,285,0,0,,
350900,宁德,2022-05-13,77,26,0,0,,
350100,福州,2022-05-13,74,71,1,0,,
350600,漳州,2022-05-13,40,23,0,0,,
350700,南平,2022-05-13,23,20,0,0,,
350400,三明,2022-05-13,15,14,0,0,,
350800,龙岩,2022-05-13,6,6,0,0,,
923500,未明确地区,2022-05-13,0,161,0,0,,
9516216,境外输入人员,2020-06-21,0,0,0,0,0,0
230000,黑龙江,2022-05-13,2983,2934,13,0,6,0
230100,哈尔滨,2022-05-13,1341,1307,4,0,,
231200,绥化,2022-05-13,539,535,4,0,,
