CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-03-29,284683,43043,7420,602,411,168
C202006211424032,未明确地区,2022-03-29,284683,43043,7420,602,,
420000,湖北,2022-03-29,68391,63871,4512,0,1,0
420100,武汉,2022-03-29,50419,46549,3869,0,,
420900,孝感,2022-03-29,3518,3389,129,0,,
421100,黄冈,2022-03-29,2912,2787,125,0,,
421000,荆州,2022-03-29,1582,1530,52,0,,
420700,鄂州,2022-03-29,1395,1336,59,0,,
421300,随州,2022-03-29,1307,1262,45,0,,
420600,襄阳,2022-03-29,1175,1135,40,0,,
420200,黄石,2022-03-29,1015,976,39,0,,
420800,荆门,2022-03-29,971,930,41,0,,
420500,宜昌,2022-03-29,931,894,37,0,,
421200,咸宁,2022-03-29,836,821,15,0,,
420300,十堰,2022-03-29,673,664,8,0,,
422900,仙桃,2022-03-29,575,553,22,0,,
429006,天门,2022-03-29,498,483,15,0,,
422800,恩施州,2022-03-29,252,245,7,0,,
423000,潜江,2022-03-29,198,189,9,0,,
C202008021801251,境外输入,2022-03-29,123,117,0,0,,
C202006211219071,神农架,2022-03-29,11,11,0,0,,
220000,吉林,2022-03-29,26573,4270,5,1055,675,0
220100,长春,2022-03-29,14355,1824,0,622,,
220200,吉林,2022-03-29,11479,1981,1,426,,
220500,通化,2022-03-29,313,312,1,0,,
220300,四平,2022-03-29,198,24,1,7,,
222400,延边,2022-03-29,122,72,0,0,,
C202006211449311,境外输入,2022-03-29,73,35,0,0,,
220700,松原,2022-03-29,15,6,0,0,,
220400,辽源,2022-03-29,8,7,0,0,,
95222,公主岭,2022-03-29,6,6,0,0,,
220800,白城,2022-03-29,3,2,0,0,,
C202006211449314,梅河口市,2022-03-29,1,1,0,0,,
C202203071016111,待确认,2022-03-29,0,0,2,0,,
700000,台湾,2022-03-29,22992,13742,853,0,0,0
C202006211529122,未明确地区,2022-03-29,22992,13742,853,0,,
440000,广东,2022-03-29,6557,5759,8,11,79,0
C202006211224112,境外输入,2022-03-29,3721,3362,0,3,,
440300,深圳,2022-03-29,1354,778,3,3,,
440100,广州,2022-03-29,540,525,1,0,,
