CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
700000,台湾,2022-06-04,2274666,13742,2663,76505,0,142
C202006211529122,未明确地区,2022-06-04,2274666,13742,2663,76505,,
810000,香港,2022-06-04,332619,62437,9382,72,56,2
C202006211424032,未明确地区,2022-06-04,332619,62437,9382,72,,
420000,湖北,2022-06-04,68399,63886,4512,0,0,0
420100,武汉,2022-06-04,50424,46554,3869,0,,
420900,孝感,2022-06-04,3518,3389,129,0,,
421100,黄冈,2022-06-04,2913,2788,125,0,,
421000,荆州,2022-06-04,1582,1530,52,0,,
420700,鄂州,2022-06-04,1395,1336,59,0,,
421300,随州,2022-06-04,1307,1262,45,0,,
420600,襄阳,2022-06-04,1175,1135,40,0,,
420200,黄石,2022-06-04,1015,976,39,0,,
420800,荆门,2022-06-04,971,930,41,0,,
420500,宜昌,2022-06-04,932,895,37,0,,
421200,咸宁,2022-06-04,836,821,15,0,,
420300,十堰,2022-06-04,673,665,8,0,,
422900,仙桃,2022-06-04,575,553,22,0,,
429006,天门,2022-06-04,498,483,15,0,,
422800,恩施州,2022-06-04,253,246,7,0,,
423000,潜江,2022-06-04,198,189,9,0,,
C202008021801251,境外输入,2022-06-04,123,123,0,0,,
C202006211219071,神农架,2022-06-04,11,11,0,0,,
953356,境外输入人员,2020-09-13,0,0,0,0,0,0
95345588,监狱系统,2020-09-13,0,0,0,0,0,0
924200,未明确地区,2020-09-13,0,0,0,0,0,0
423100,神农架林区,2020-09-13,0,0,0,0,0,0
310000,上海,2022-06-04,63033,61989,595,7,180,0
C202006211504253,浦东,2022-06-04,17111,15902,1,1,,
310101,黄浦,2022-06-04,6611,5218,0,1,,
310112,闵行,2022-06-04,5393,4713,0,0,,
310104,徐汇,2022-06-04,4677,3516,1,1,,
C202006211504251,境外输入,2022-06-04,4623,4604,0,2,,
310109,虹口,2022-06-04,3690,2632,0,0,,
310106,静安,2022-06-04,3240,2416,1,0,,
310113,宝山,2022-06-04,3083,2460,1,0,,
310117,松江,2022-06-04,2974,2894,0,0,,
310114,嘉定,2022-06-04,2633,2358,2,0,,
310105,长宁,2022-06-04,2408,1876,0,0,,
310110,杨浦,2022-06-04,2382,1194,0,2,,
310107,普陀,2022-06-04,1785,1291,0,0,,
310118,青浦,2022-06-04,1324,1253,0,0,,
310130,崇明,2022-06-04,396,225,0,0,,
310116,金山,2022-06-04,339,328,0,0,,
310120,奉贤,2022-06-04,240,153,0,0,,
310100,外地来沪,2022-06-04,113,112,1,0,,
923100,未明确地区,2022-06-04,10,8842,588,0,,
C202006300803441,境外来沪,2022-06-04,1,2,0,0,,
C202101211446591,待确认,2021-02-22,0,2,0,0,,
9512312,境外输入人员,2020-08-14,0,0,0,0,0,0
310115,浦东新区,2020-08-14,0,0,0,0,0,0
310108,闸北,2020-08-14,0,0,0,0,0,0
220000,吉林,2022-06-04,40293,40142,5,0,16,0
220100,长春,2022-06-04,25176,24661,0,0,,
220200,吉林,2022-05-13,14097,14080,1,0,,
C202205121132341,吉林市,2022-06-04,14097,14093,1,0,,
220500,通化,2022-06-04,314,312,1,0,,
220300,四平,2022-06-04,244,242,1,0,,
222400,延边,2022-06-04,191,189,0,0,,
220800,白城,2022-06-04,145,145,0,0,,
C202006211449311,境外输入,2022-06-04,73,35,0,0,,
922200,未明确地区,2022-04-30,42,0,0,42,,
220600,白山,2022-06-04,24,24,0,0,,
220700,松原,2022-06-04,18,18,0,0,,
220400,辽源,2022-06-04,9,9,0,0,,
95222,公主岭,2022-05-07,6,6,0,0,,
C202205171603291,长白山管委会,2022-06-04,1,1,0,0,,
C202006211449314,梅河口市,2022-06-04,1,1,0,0,,
9583245,梅河口,2020-06-21,0,0,0,0,0,0
C202203071016111,待确认,2022-06-04,0,412,2,0,,
9536,境外输入人员,2020-06-21,0,0,0,0,0,0
440000,广东,2022-06-04,7311,7270,8,4,3,0
C202006211224112,境外输入,2022-06-04,3916,3890,0,4,,
440300,深圳,2022-06-04,1385,778,3,0,,
440100,广州,2022-06-04,949,609,1,0,,
441900,东莞,2022-06-04,348,347,1,0,,
440400,珠海,2022-06-04,146,115,1,0,,
440800,湛江,2022-06-04,111,23,0,0,,
440600,佛山,2022-06-04,106,101,0,0,,
442000,中山,2022-06-04,84,71,0,0,,
441300,惠州,2022-06-04,70,62,0,0,,
440700,江门,2022-06-04,28,23,0,0,,
441200,肇庆,2022-06-04,27,18,1,0,,
440500,汕头,2022-06-04,26,25,0,0,,
440900,茂名,2022-06-04,21,14,0,0,,
441400,梅州,2022-06-04,18,17,0,0,,
441700,阳江,2022-06-04,15,14,0,0,,
440200,韶关,2022-06-04,12,9,1,0,,
441800,清远,2022-06-04,12,12,0,0,,
445200,揭阳,2022-06-04,10,10,0,0,,
441500,汕尾,2022-06-04,8,6,0,0,,
445300,云浮,2022-06-04,7,0,0,0,,
441600,河源,2022-06-04,7,5,0,0,,
445100,潮州,2022-06-04,5,5,0,0,,
924400,未明确地区,2022-06-04,0,1116,0,0,,
9532564,境外输入人员,2020-09-13,0,0,0,0,0,0
110000,北京,2022-06-04,3410,3093,9,9,52,0
C202006210854051,境外输入,2022-06-04,724,557,0,4,,
110106,丰台,2022-06-04,698,237,0,0,,
110105,朝阳,2022-06-04,510,21,0,2,,
110108,海淀,2022-06-04,343,26,0,0,,
110111,房山,2022-06-04,331,12,0,0,,
110115,大兴,2022-06-04,162,111,0,0,,
110112,通州,2022-06-04,101,3,9,0,,
110113,顺义,2022-06-04,99,45,0,0,,
110102,西城,2022-06-04,97,6,0,0,,
110114,昌平,2022-06-04,94,50,0,2,,
921100,未明确地区,2022-06-04,88,1986,0,1,,
110101,东城,2022-06-04,66,6,0,0,,
110107,石景山,2022-06-04,32,12,0,0,,
110100,外地来京,2022-06-04,25,2,0,0,,
110109,门头沟,2022-06-04,13,4,0,0,,
110228,密云,2022-06-04,9,7,0,0,,
110116,怀柔,2022-06-04,8,8,0,0,,
C202202221602001,涉奥闭环人员,2022-06-04,4,0,0,0,,
