CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-04-08,307793,54939,8557,989,1491,97
C202006211424032,未明确地区,2022-04-08,307793,54939,8557,989,,
420000,湖北,2022-04-08,68391,63876,4512,0,0,0
420100,武汉,2022-04-08,50419,46550,3869,0,,
420900,孝感,2022-04-08,3518,3389,129,0,,
421100,黄冈,2022-04-08,2912,2787,125,0,,
421000,荆州,2022-04-08,1582,1530,52,0,,
420700,鄂州,2022-04-08,1395,1336,59,0,,
421300,随州,2022-04-08,1307,1262,45,0,,
420600,襄阳,2022-04-08,1175,1135,40,0,,
420200,黄石,2022-04-08,1015,976,39,0,,
420800,荆门,2022-04-08,971,930,41,0,,
420500,宜昌,2022-04-08,931,894,37,0,,
421200,咸宁,2022-04-08,836,821,15,0,,
420300,十堰,2022-04-08,673,665,8,0,,
422900,仙桃,2022-04-08,575,553,22,0,,
429006,天门,2022-04-08,498,483,15,0,,
422800,恩施州,2022-04-08,252,245,7,0,,
423000,潜江,2022-04-08,198,189,9,0,,
C202008021801251,境外输入,2022-04-08,123,120,0,0,,
C202006211219071,神农架,2022-04-08,11,11,0,0,,
220000,吉林,2022-04-08,37220,19910,5,617,1439,0
220100,长春,2022-04-08,22807,11507,0,474,,
220200,吉林,2022-04-08,13567,7794,1,136,,
220500,通化,2022-04-08,313,312,1,0,,
220300,四平,2022-04-08,238,120,1,1,,
222400,延边,2022-04-08,122,112,0,0,,
C202006211449311,境外输入,2022-04-08,73,35,0,0,,
220800,白城,2022-04-08,59,2,0,4,,
220700,松原,2022-04-08,15,14,0,0,,
220600,白山,2022-04-08,11,0,0,2,,
220400,辽源,2022-04-08,8,7,0,0,,
95222,公主岭,2022-04-08,6,6,0,0,,
C202006211449314,梅河口市,2022-04-08,1,1,0,0,,
C202203071016111,待确认,2022-04-08,0,0,2,0,,
700000,台湾,2022-04-08,26263,13742,853,1038,0,0
C202006211529122,未明确地区,2022-04-08,26263,13742,853,1038,,
310000,上海,2022-04-08,9334,5270,7,828,57,0
C202006211504251,境外输入,2022-04-08,4549,4481,0,4,,
C202006211504253,浦东,2022-04-08,1968,135,1,306,,
310112,闵行,2022-04-08,557,114,0,96,,
310104,徐汇,2022-04-08,352,64,1,40,,
310117,松江,2022-04-08,217,25,0,107,,
310106,静安,2022-04-08,208,38,1,23,,
310113,宝山,2022-04-08,194,31,1,10,,
310114,嘉定,2022-04-08,173,39,2,23,,
310107,普陀,2022-04-08,173,26,0,11,,
310101,黄浦,2022-04-08,166,41,0,14,,
310105,长宁,2022-04-08,165,16,0,29,,
310110,杨浦,2022-04-08,146,12,0,29,,
310109,虹口,2022-04-08,119,15,0,26,,
310100,外地来沪,2022-04-08,113,112,1,0,,
310116,金山,2022-04-08,99,9,0,72,,
310120,奉贤,2022-04-08,78,16,0,32,,
310118,青浦,2022-04-08,38,9,0,4,,
310130,崇明,2022-04-08,18,7,0,2,,
C202006300803441,境外来沪,2022-04-08,1,1,0,0,,
923100,未明确地区,2022-04-08,0,79,0,0,,
440000,广东,2022-04-08,6655,6476,8,12,16,0
C202006211224112,境外输入,2022-04-08,3778,3533,0,5,,
440300,深圳,2022-04-08,1361,778,3,0,,
440100,广州,2022-04-08,553,525,1,3,,
441900,东莞,2022-04-08,348,127,1,0,,
440400,珠海,2022-04-08,146,115,1,0,,
440600,佛山,2022-04-08,104,101,0,3,,
442000,中山,2022-04-08,81,71,0,0,,
441300,惠州,2022-04-08,70,62,0,0,,
441200,肇庆,2022-04-08,27,18,1,0,,
440800,湛江,2022-04-08,25,23,0,1,,
440500,汕头,2022-04-08,25,25,0,0,,
440700,江门,2022-04-08,23,23,0,0,,
440900,茂名,2022-04-08,21,14,0,0,,
441400,梅州,2022-04-08,18,17,0,0,,
441700,阳江,2022-04-08,15,14,0,0,,
441800,清远,2022-04-08,12,12,0,0,,
440200,韶关,2022-04-08,11,9,1,0,,
445200,揭阳,2022-04-08,10,10,0,0,,
441500,汕尾,2022-04-08,8,6,0,0,,
445300,云浮,2022-04-08,7,0,0,0,,
441600,河源,2022-04-08,7,5,0,0,,
445100,潮州,2022-04-08,5,5,0,0,,
924400,未明确地区,2022-04-08,0,983,0,0,,
610000,陕西,2022-04-08,3238,3196,3,12,3,0
610100,西安,2022-04-08,2298,2185,3,11,,
C202006211334183,境外输入,2022-04-08,483,483,0,0,,
610300,宝鸡,2022-04-08,253,232,0,0,,
610700,汉中,2022-04-08,57,26,0,0,,
610400,咸阳,2022-04-08,35,31,0,0,,
610900,安康,2022-04-08,33,26,0,0,,
610200,铜川,2022-04-08,26,8,0,0,,
610600,延安,2022-04-08,21,21,0,0,,
610500,渭南,2022-04-08,18,18,0,0,,
611000,商洛,2022-04-08,8,7,0,1,,
610800,榆林,2022-04-08,3,3,0,0,,
C202006211334185,杨凌,2022-04-08,2,1,0,0,,
C202006211334184,韩城,2022-04-08,1,1,0,0,,
926100,未明确地区,2022-04-08,0,154,0,0,,
350000,福建,2022-04-08,2888,2385,1,22,123,0
350500,泉州,2022-04-08,1169,762,0,19,,
C202006211119091,境外输入,2022-04-08,900,865,0,2,,
350300,莆田,2022-04-08,322,275,0,0,,
350200,厦门,2022-04-08,311,285,0,1,,
350100,福州,2022-04-08,74,71,1,0,,
350600,漳州,2022-04-08,40,23,0,0,,
350900,宁德,2022-04-08,30,26,0,0,,
350700,南平,2022-04-08,21,20,0,0,,
350400,三明,2022-04-08,15,14,0,0,,
350800,龙岩,2022-04-08,6,6,0,0,,
923500,未明确地区,2022-04-08,0,38,0,0,,
410000,河南,2022-04-08,2839,2752,22,0,31,0
410500,安阳,2022-04-08,523,522,0,0,,
410100,郑州,2022-04-08,494,483,5,0,,
411000,许昌,2022-04-08,405,404,1,0,,
411500,信阳,2022-04-08,279,275,2,0,,
C202006211219072,境外输入,2022-04-08,209,199,0,0,,
411600,周口,2022-04-08,181,100,1,0,,
411300,南阳,2022-04-08,156,153,3,0,,
411700,驻马店,2022-04-08,143,143,0,0,,
411400,商丘,2022-04-08,111,106,3,0,,
410400,平顶山,2022-04-08,59,58,1,0,,
410700,新乡,2022-04-08,57,54,3,0,,
410800,焦作,2022-04-08,46,31,1,0,,
410300,洛阳,2022-04-08,44,40,1,0,,
411100,漯河,2022-04-08,41,36,0,0,,
410200,开封,2022-04-08,37,33,0,0,,
410900,濮阳,2022-04-08,22,17,0,0,,
410600,鹤壁,2022-04-08,19,19,0,0,,
411200,三门峡,2022-04-08,8,7,1,0,,
C202006211219073,济源示范区,2022-04-08,5,5,0,0,,
924100,未明确地区,2022-04-08,0,67,0,0,,
330000,浙江,2022-04-08,2788,2248,1,9,0,0
C202006211209102,境外输入,2022-04-08,586,374,0,0,,
330300,温州,2022-04-08,511,503,1,0,,
330600,绍兴,2022-04-08,437,429,0,0,,
330100,杭州,2022-04-08,398,328,0,0,,
330200,宁波,2022-04-08,300,269,0,5,,
331000,台州,2022-04-08,149,147,0,0,,
330400,嘉兴,2022-04-08,137,46,0,4,,
330800,衢州,2022-04-08,110,22,0,0,,
330700,金华,2022-04-08,63,57,0,0,,
9587765,省十里丰监狱,2022-04-08,36,36,0,0,,
330500,湖州,2022-04-08,30,10,0,0,,
331100,丽水,2022-04-08,19,17,0,0,,
330900,舟山,2022-04-08,12,10,0,0,,
923300,未明确地区,2022-04-08,0,0,0,0,,
370000,山东,2022-04-08,2638,2320,7,6,30,0
370200,青岛,2022-04-08,978,918,1,1,,
C202006211209103,境外输入,2022-04-08,434,417,0,1,,
370800,济宁,2022-04-08,262,260,0,1,,
371600,滨州,2022-04-08,217,83,0,0,,
371400,德州,2022-04-08,112,83,2,0,,
371000,威海,2022-04-08,106,87,1,2,,
370600,烟台,2022-04-08,85,58,0,0,,
370100,济南,2022-04-08,78,50,0,1,,
370300,淄博,2022-04-08,77,29,1,0,,
371300,临沂,2022-04-08,66,49,0,0,,
370700,潍坊,2022-04-08,52,44,0,0,,
370900,泰安,2022-04-08,43,33,2,0,,
371500,聊城,2022-04-08,38,38,0,0,,
371100,日照,2022-04-08,37,30,0,0,,
370400,枣庄,2022-04-08,33,24,0,0,,
371700,菏泽,2022-04-08,20,18,0,0,,
923700,未明确地区,2022-04-08,0,99,0,0,,
230000,黑龙江,2022-04-08,2499,2306,13,2,16,0
230100,哈尔滨,2022-04-08,875,760,4,1,,
231200,绥化,2022-04-08,539,534,4,0,,
C202006211504252,境外输入,2022-04-08,431,426,0,1,,
231100,黑河,2022-04-08,297,296,0,0,,
231000,牡丹江,2022-04-08,86,73,0,0,,
230800,佳木斯,2022-04-08,56,15,0,0,,
230500,双鸭山,2022-04-08,52,49,3,0,,
230300,鸡西,2022-04-08,52,52,0,0,,
230200,齐齐哈尔,2022-04-08,45,44,1,0,,
230600,大庆,2022-04-08,37,29,1,0,,
230900,七台河,2022-04-08,18,17,0,0,,
230400,鹤岗,2022-04-08,5,5,0,0,,
232700,大兴安岭,2022-04-08,3,3,0,0,,
922300,未明确地区,2022-04-08,2,2,0,0,,
230700,伊春,2022-04-08,1,1,0,0,,
530000,云南,2022-04-08,2078,2039,2,3,4,0
C202006211334191,境外输入,2022-04-08,1467,1453,0,2,,
C202006211334182,德宏州,2022-04-08,377,302,0,0,,
530100,昆明,2022-04-08,66,58,0,0,,
532500,红河,2022-04-08,36,9,0,1,,
C202006211334186,昭通市,2022-04-08,26,25,0,0,,
C202006211334189,西双版纳州,2022-04-08,20,14,1,0,,
530300,曲靖,2022-04-08,14,13,0,0,,
530400,玉溪,2022-04-08,14,13,1,0,,
530900,临沧,2022-04-08,13,1,0,0,,
532900,大理,2022-04-08,13,13,0,0,,
C202006211334188,保山市,2022-04-08,11,9,0,0,,
C202006211334187,丽江市,2022-04-08,7,7,0,0,,
530800,普洱,2022-04-08,5,4,0,0,,
532600,文山州,2022-04-08,5,5,0,0,,
C202006211334181,楚雄州,2022-04-08,4,4,0,0,,
C202109150726041,未明确地区,2022-04-08,0,109,0,0,,
320000,江苏,2022-04-08,2073,1993,0,13,2,0
321000,扬州,2022-04-08,593,593,0,0,,
320100,南京,2022-04-08,340,331,0,3,,
C202006211204151,境外输入,2022-04-08,220,220,0,0,,
320500,苏州,2022-04-08,211,205,0,1,,
320700,连云港,2022-04-08,193,167,0,0,,
320300,徐州,2022-04-08,106,79,0,6,,
320400,常州,2022-04-08,84,54,0,0,,
320800,淮安,2022-04-08,80,78,0,0,,
320200,无锡,2022-04-08,62,55,0,0,,
320900,盐城,2022-04-08,49,27,0,1,,
321200,泰州,2022-04-08,46,37,0,0,,
320600,南通,2022-04-08,41,40,0,0,,
321100,镇江,2022-04-08,24,12,0,2,,
321300,宿迁,2022-04-08,24,16,0,0,,
923200,未明确地区,2022-04-08,0,79,0,0,,
130000,河北,2022-04-08,1976,1854,7,1,17,0
130100,石家庄,2022-04-08,977,975,1,0,,
131000,廊坊,2022-04-08,314,175,0,0,,
130900,沧州,2022-04-08,138,58,3,0,,
130500,邢台,2022-04-08,136,135,1,0,,
130200,唐山,2022-04-08,89,75,1,0,,
C202111210855531,辛集市,2022-04-08,71,71,0,0,,
130400,邯郸,2022-04-08,59,33,0,1,,
130600,保定,2022-04-08,53,38,0,0,,
130700,张家口,2022-04-08,43,43,0,0,,
C202006210929051,境外输入,2022-04-08,37,37,0,0,,
C202201241130351,雄安新区,2022-04-08,19,18,0,0,,
130300,秦皇岛,2022-04-08,17,9,1,0,,
131100,衡水,2022-04-08,13,13,0,0,,
130800,承德,2022-04-08,7,7,0,0,,
C202201241137371,定州,2022-04-08,3,2,0,0,,
921300,未明确地区,2022-04-08,0,165,0,0,,
510000,四川,2022-04-08,1941,1775,3,14,20,0
C2020062113241412,境外输入,2022-04-08,1253,1025,0,9,,
510100,成都,2022-04-08,271,188,3,4,,
C2020062113241416,甘孜,2022-04-08,78,78,0,0,,
511700,达州,2022-04-08,42,42,0,0,,
511300,南充,2022-04-08,39,39,0,0,,
511600,广安,2022-04-08,31,30,0,0,,
510500,泸州,2022-04-08,25,25,0,0,,
511900,巴中,2022-04-08,24,24,0,0,,
510700,绵阳,2022-04-08,23,23,0,0,,
