CityCode,CityName,UpdateTime,totalConfirmed,totalHealed,totalDeath,incrConfirmed,incrHealed,incrDeath
810000,香港,2022-03-25,282009,38964,6770,1699,1385,201
C202006211424032,未明确地区,2022-03-25,282009,38964,6770,1699,,
420000,湖北,2022-03-25,68391,63870,4512,0,0,0
420100,武汉,2022-03-25,50419,46549,3869,0,,
420900,孝感,2022-03-25,3518,3389,129,0,,
421100,黄冈,2022-03-25,2912,2787,125,0,,
421000,荆州,2022-03-25,1582,1530,52,0,,
420700,鄂州,2022-03-25,1395,1336,59,0,,
421300,随州,2022-03-25,1307,1262,45,0,,
420600,襄阳,2022-03-25,1175,1135,40,0,,
420200,黄石,2022-03-25,1015,976,39,0,,
420800,荆门,2022-03-25,971,930,41,0,,
420500,宜昌,2022-03-25,931,894,37,0,,
421200,咸宁,2022-03-25,836,821,15,0,,
420300,十堰,2022-03-25,673,664,8,0,,
422900,仙桃,2022-03-25,575,553,22,0,,
429006,天门,2022-03-25,498,483,15,0,,
422800,恩施州,2022-03-25,252,245,7,0,,
423000,潜江,2022-03-25,198,189,9,0,,
C202008021801251,境外输入,2022-03-25,123,116,0,0,,
C202006211219071,神农架,2022-03-25,11,11,0,0,,
700000,台湾,2022-03-25,22463,13742,853,275,0,0
C202006211529122,未明确地区,2022-03-25,22463,13742,853,275,,
220000,吉林,2022-03-25,22235,1714,5,1110,473,0
220100,长春,2022-03-25,11840,579,0,576,,
220200,吉林,2022-03-25,9692,703,1,528,,
220500,通化,2022-03-25,313,312,1,0,,
220300,四平,2022-03-25,169,16,1,6,,
222400,延边,2022-03-25,122,48,0,0,,
C202006211449311,境外输入,2022-03-25,69,35,0,0,,
220700,松原,2022-03-25,14,6,0,0,,
220400,辽源,2022-03-25,7,7,0,0,,
95222,公主岭,2022-03-25,6,6,0,0,,
220800,白城,2022-03-25,2,1,0,0,,
C202006211449314,梅河口市,2022-03-25,1,1,0,0,,
C202203071016111,待确认,2022-03-25,0,0,2,0,,
440000,广东,2022-03-25,6515,5472,8,15,83,0
C202006211224112,境外输入,2022-03-25,3697,3362,0,11,,
440300,深圳,2022-03-25,1348,445,3,2,,
440100,广州,2022-03-25,540,525,1,0,,
441900,东莞,2022-03-25,342,127,1,1,,
440400,珠海,2022-03-25,141,115,1,0,,
440600,佛山,2022-03-25,101,101,0,0,,
442000,中山,2022-03-25,80,71,0,1,,
441300,惠州,2022-03-25,70,62,0,0,,
440500,汕头,2022-03-25,25,25,0,0,,
440800,湛江,2022-03-25,23,23,0,0,,
440700,江门,2022-03-25,23,23,0,0,,
441200,肇庆,2022-03-25,19,18,1,0,,
441400,梅州,2022-03-25,18,17,0,0,,
441700,阳江,2022-03-25,15,14,0,0,,
440900,茂名,2022-03-25,15,14,0,0,,
441800,清远,2022-03-25,12,12,0,0,,
440200,韶关,2022-03-25,11,9,1,0,,
445200,揭阳,2022-03-25,10,10,0,0,,
445300,云浮,2022-03-25,7,0,0,0,,
441600,河源,2022-03-25,7,5,0,0,,
441500,汕尾,2022-03-25,6,6,0,0,,
445100,潮州,2022-03-25,5,5,0,0,,
924400,未明确地区,2022-03-25,0,483,0,0,,
310000,上海,2022-03-25,5135,4779,7,41,63,0
C202006211504251,境外输入,2022-03-25,4466,4316,0,12,,
C202006211504253,浦东,2022-03-25,134,85,1,0,,
310100,外地来沪,2022-03-25,113,112,1,0,,
310112,闵行,2022-03-25,69,25,0,0,,
310104,徐汇,2022-03-25,58,21,1,0,,
310101,黄浦,2022-03-25,42,22,0,0,,
310114,嘉定,2022-03-25,39,9,2,0,,
310106,静安,2022-03-25,34,20,1,0,,
310113,宝山,2022-03-25,31,25,1,0,,
923100,未明确地区,2022-03-25,29,53,0,29,,
310107,普陀,2022-03-25,22,15,0,0,,
310117,松江,2022-03-25,21,17,0,0,,
310120,奉贤,2022-03-25,15,12,0,0,,
310105,长宁,2022-03-25,15,14,0,0,,
310109,虹口,2022-03-25,12,8,0,0,,
310110,杨浦,2022-03-25,10,9,0,0,,
310118,青浦,2022-03-25,9,7,0,0,,
310116,金山,2022-03-25,8,4,0,0,,
310130,崇明,2022-03-25,7,4,0,0,,
C202006300803441,境外来沪,2022-03-25,1,1,0,0,,
610000,陕西,2022-03-25,3212,2946,3,3,51,0
610100,西安,2022-03-25,2284,2185,3,0,,
C202006211334183,境外输入,2022-03-25,483,483,0,0,,
610300,宝鸡,2022-03-25,249,17,0,3,,
610700,汉中,2022-03-25,57,26,0,0,,
610400,咸阳,2022-03-25,35,31,0,0,,
